編號,縣市,所在轄區,X坐標,Y坐標,公園名稱,里別,面積公頃,類別,座落位置,管理單位,使用分區,附註,使用告示牌1,搖搖椅,搖搖樂,攀岩牆,旋轉地球,鐵馬搖椅,雙座潛艇滑軌,天梯爬梯,鏡子護欄,泡泡窗,方向盤,螺旋滑梯,海底峽谷爬梯,彈力蹺蹺板,蹺蹺板,攀爬梯網狀爬架,盪鞦韆,溜滑梯,吊橋,親子木樁,沙坑,大型兒童遊具,中型兒童遊具,小型兒童遊具,轉轉拼圖,其他遊樂設施,使用告示牌2,單槓引體向上,雙槓,高低槓,平行槓平行桿,三人扭腰器長,三人扭腰器圓轉腰器,平步機,伸腰伸臂架腰腹訓練器,壓腿器,太空漫步機雙人漫步機,肩關節康復器大轉輪,腰背按摩器,上肢牽引器,腹肌架腹肌運動,太極揉推器,平衡木,撐體向上,跳躍運動,仰臥舉腿,上下階運動,左右側跳,伏地挺身,俯前坐,腿筋伸展,衝浪板雙人浪板,吊環,雙向爬梯,天梯雲梯,滑輪吊環,滾背伸展,仰臥起坐,垂直爬梯,划船器,其他體健設施,石椅,靠背石椅,木椅,靠背木椅,鋁椅,靠背鋁椅,塑鋼椅,靠背塑鋼椅,白鐵椅,靠背白鐵椅,白鐵管椅,靠背白鐵管椅,玻璃椅,其他休憩設施,對奕石桌椅1:2,對奕石桌椅1:4,熄菸筒,石桌椅1:4,野餐桌椅,其他,木製涼亭,涼亭,瞭望台,花架,景觀壁燈,燈箱,高燈,矮燈,地底燈,橋樑,水龍頭1,電源開關箱,身障斜坡,身障扶手,P型身障扶手,C101,舞台,籃球場,網球場,羽球場,溜冰場,排球場,舉重館,槌球場,客家文化館,寵物新樂園沙坑,噴水池,管理單位說明,違規罰鍰,使用注意事項,公布欄,好望角,自行車路線圖,指示標誌,健康步道,垃圾桶1,腳踏車架,腳踏車停車位,機車停車位,汽車停車位,殘障停車位,遊覽車停車位,擋車阻,公廁,移動式廁間,便器蹲式1,便器坐式1,沖水器腳踏式1,沖水器水箱型1,垃圾桶2,門1,標誌1,XA8身障扶手,身障間洗手台2,小便區2,小便斗2,噴水器按押式2,噴水器感應式2,XB4身障扶手,煙蒂盒2,洗手台區2,鏡1,水槽1,水龍頭2,給皂盒1,衛生紙盒1,垃圾桶3,XC7身障扶手,便器蹲式2,便器坐式2,沖水器腳踏式2,沖水器水箱型2,垃圾桶4,門2,標誌2,YA8身障扶手,身障間洗手台1,小便區1,小便斗1,噴水器按押式1,噴水器感應式1,YB4身障扶手,煙蒂盒1,洗手台區1,鏡2,水槽2,水龍頭3,給皂盒2,衛生紙盒2,垃圾桶5,YC7身障扶手,門3,窗,照明燈,空調抽風機,洗腳池,台電電箱數量,台電電箱面積m2,中華電信設備箱數量,中華電信設備箱面積m2,欣南瓦斯設備箱數量,欣南瓦斯設備箱面積m2,第四台業者設備箱數量,第四台業者設備箱面積m2,C195,C196,C197,C198,C199,公園全景
11,臺南市,東區,171049.68,2541783.48,仁和公園,崇善里,0.1,鄰里公園,仁和路70號,東區區公所,鄰里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,1,,,,,27,,,,4,1,3,,,,,,,,,,,,,,,,3,,,,,,,,,,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12,臺南市,東區,171335.49,2541966.48,和平公園,和平里,0.95,鄰里公園,文化一街,東區區公所,鄰里,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,,,,,,,,,2,,,2,,1,,,,,,,,,,,,,,,,,,,,11,,,13,,,,,,,,,,,,,,2,1,,,,,,,,10,,,,5,1,2,,,,,,,,,,,,,,,,2,,1,,,,,3,,,,6,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
13,臺南市,東區,171221.9,2542028.65,文化公園(公兒E24),和平里,0.67,,仁和路41巷與文化二街,東區區公所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,4,,,,,,,,,,,,,,,,1,,,,,,,,14,,,,7,1,2,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
14,臺南市,東區,172536.11,2542821.6,裕平公園(公兒E43),關聖里,0.123,鄰里公園,裕平路276號旁,東區區公所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,3,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
15,臺南市,東區,172623.36,2543159.58,南聖公園,南聖里,1.9,區域公園,裕和路、裕信路,公園管理一科,大型,,1,4,,,,,,,,,,,,1,,,1,,,,,,1,,,,,6,,,,,3,,,2,3,,3,2,,1,,,,,,,,,,1,,,,,,,,,,15,,13,12,,,15,23,,,,,,,1,3,,,,,1,,1,,,4,28,,,,14,2,1,,,,,1,,,1,,,,,,,2,3,1,1,,,,,2,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16,臺南市,東區,171226.57,2542920.65,富強公園,富強里,0.19,鄰里公園,裕農路446巷,東區區公所,鄰里,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,1,,,,1,1,,1,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,6,,4,,,,,,,1,,1,,,1,,,22,,14,,,,,,1,,,,,,,,,,,,,,,1,,,2,,,,1,,1,,20,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
17,臺南市,東區,170855.2,2542707.32,富裕公園(公兒E53),富裕里,0.16,鄰里公園,東門路二段301巷,東區區公所,鄰里,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,1,,1,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,3,,,,6,,,,,,8,,,,,,,,,,,,1,,,,,4,,,,1,1,,,,,,,,,,,,,,,,1,,1,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
18,臺南市,東區,172703.55,2542144,裕華公園,裕聖里,0.46,鄰里公園,裕華一街及二街交叉口,東區區公所,鄰里,,1,2,2,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,1,,,2,,1,,,,,,,,,,,,,,,,,,,,2,,12,,,,,,,5,,,,,,1,1,,,,,1,,,6,,23,15,,,4,1,2,,2,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
19,臺南市,東區,170608.62,2544554.37,東和公園,大學里,1.11,區域公園,小東路、林森路二段,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,1,,,,1,,1,1,,1,,,1,,,,1,1,,,,,,,1,,,,1,,1,11,,10,,,,,,,25,,,,,,,,,,,,1,,,,1,58,,22,,3,1,3,,1,,,,,,1,,,,,1,,,6,6,1,1,2,,,8,1,,,,,,12,1,,,1,,1,1,1,1,,,,2,2,,,,1,2,,,1,1,,,,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,1
20,臺南市,東區,169495.46,2544098.82,成大公園,成大里,0.174,鄰里公園,大學路&育樂街,東區區公所,鄰里,,1,2,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,12,6,,,5,1,2,,1,,,,,,,,,,,,,,,,,,,,,3,,,52,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
21,臺南市,東區,171850.41,2542394.47,後甲公園,後甲里,1.966,區域公園,裕永一街、裕永路路口,公園管理一科,大型,,1,3,,,,,,,,,,,,,,,1,,,,,,,2,,2,,4,,,,,4,,,2,3,,2,2,,1,,,,,,,,,,,,,,,,,,,,36,,2,7,,,,,,2,,,,,,2,,2,,,1,,,,,,18,,,,9,1,1,,1,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
22,臺南市,東區,170459.55,2543293.91,崇誨公園,崇誨里,0.1033,鄰里公園,林森路二段192巷口,東區區公所,鄰里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,4,,,,,,,,,,,2,,,,,,4,,,,3,1,1,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
23,臺南市,東區,171062.43,2544213.55,莊敬公園,莊敬里,0.19,鄰里公園,東興路,東區區公所,鄰里,,,2,1,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,1,,,,1,,1,1,,,,,,,,,,,,,,,1,,,1,,1,1,,,,,,,,,,14,,,,,,,,1,,,,1,,,,,8,,,,3,,,,,,,,,,,,,,,,,1,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
24,臺南市,東區,170572.48,2543108.7,衛國公園,衛國里,0.1602,鄰里公園,林森路二段東門國宅旁,東區區公所,鄰里,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,1,,,,,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,6,,7,,,,,,,4,,,,,,,1,,,,1,,,,,,5,,,,2,1,4,1,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
25,臺南市,東區,169328.559,2543757.559,公兒E58,圍下里,0.8886,,衛民街博愛國小後方,區公所,鄰里公園,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
26,臺南市,東區,170218.682,2543733.352,綠E5公園(E5),大學里,0.0966,鄰里公園,長榮路三段40號旁,區公所,公園用地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
27,臺南市,東區,169965.06,2542257.122,德光公園(公E1),崇德里,0.5253,鄰里公園,崇德路、崇德一街,東區區公所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
28,臺南市,東區,169492.66,2543575.91,青年公園,圍下里,1.25,區域公園,青年路、育樂街,公園管理一科,大型,,2,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,8,,,1,2,,1,,,1,,1,1,,1,1,,,,1,,,,,,,,2,,,1,1,1,,26,,1,3,,6,,,,7,,,,,,5,,,,,,1,,,22,1,29,,,,2,,3,,2,,,,,,,,,,,,,,2,5,1,,,,,8,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
29,臺南市,東區,171277.2,2541720.71,文良公園(公兒E26),和平里,0.31,,仁和路41巷與文化二街,東區區公所,,,1,2,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,8,,,8,,,,,,,,,,,,,,,3,,,,,,,,6,,,,6,1,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.6,,,,,,,,,,,,1
