編號,縣市,所在轄區,X坐標,Y坐標,公園名稱,里別,面積公頃,類別,座落位置,管理單位,使用分區,附註,使用告示牌1,搖搖椅,搖搖樂,攀岩牆,旋轉地球,鐵馬搖椅,雙座潛艇滑軌,天梯爬梯,鏡子護欄,泡泡窗,方向盤,螺旋滑梯,海底峽谷爬梯,彈力蹺蹺板,蹺蹺板,攀爬梯網狀爬架,盪鞦韆,溜滑梯,吊橋,親子木樁,沙坑,大型兒童遊具,中型兒童遊具,小型兒童遊具,轉轉拼圖,其他遊樂設施,使用告示牌2,單槓引體向上,雙槓,高低槓,平行槓平行桿,三人扭腰器長,三人扭腰器圓轉腰器,平步機,伸腰伸臂架腰腹訓練器,壓腿器,太空漫步機雙人漫步機,肩關節康復器大轉輪,腰背按摩器,上肢牽引器,腹肌架腹肌運動,太極揉推器,平衡木,撐體向上,跳躍運動,仰臥舉腿,上下階運動,左右側跳,伏地挺身,俯前坐,腿筋伸展,衝浪板雙人浪板,吊環,雙向爬梯,天梯雲梯,滑輪吊環,滾背伸展,仰臥起坐,垂直爬梯,划船器,其他體健設施,石椅,靠背石椅,木椅,靠背木椅,鋁椅,靠背鋁椅,塑鋼椅,靠背塑鋼椅,白鐵椅,靠背白鐵椅,白鐵管椅,靠背白鐵管椅,玻璃椅,其他休憩設施,對奕石桌椅1:2,對奕石桌椅1:4,熄菸筒,石桌椅1:4,野餐桌椅,其他,木製涼亭,涼亭,瞭望台,花架,景觀壁燈,燈箱,高燈,矮燈,地底燈,橋樑,水龍頭1,電源開關箱,身障斜坡,身障扶手,P型身障扶手,C101,舞台,籃球場,網球場,羽球場,溜冰場,排球場,舉重館,槌球場,客家文化館,寵物新樂園沙坑,噴水池,管理單位說明,違規罰鍰,使用注意事項,公布欄,好望角,自行車路線圖,指示標誌,健康步道,垃圾桶1,腳踏車架,腳踏車停車位,機車停車位,汽車停車位,殘障停車位,遊覽車停車位,擋車阻,公廁,移動式廁間,便器蹲式1,便器坐式1,沖水器腳踏式1,沖水器水箱型1,垃圾桶2,門1,標誌1,XA8身障扶手,身障間洗手台2,小便區2,小便斗2,噴水器按押式2,噴水器感應式2,XB4身障扶手,煙蒂盒2,洗手台區2,鏡1,水槽1,水龍頭2,給皂盒1,衛生紙盒1,垃圾桶3,XC7身障扶手,便器蹲式2,便器坐式2,沖水器腳踏式2,沖水器水箱型2,垃圾桶4,門2,標誌2,YA8身障扶手,身障間洗手台1,小便區1,小便斗1,噴水器按押式1,噴水器感應式1,YB4身障扶手,煙蒂盒1,洗手台區1,鏡2,水槽2,水龍頭3,給皂盒2,衛生紙盒2,垃圾桶5,YC7身障扶手,門3,窗,照明燈,空調抽風機,洗腳池,台電電箱數量,台電電箱面積m2,中華電信設備箱數量,中華電信設備箱面積m2,欣南瓦斯設備箱數量,欣南瓦斯設備箱面積m2,第四台業者設備箱數量,第四台業者設備箱面積m2,C195,C196,C197,C198,C199,公園全景
30,臺南市,東區,170548.212,2541119.266,東區-竹篙厝段公兒E29,崇明里,0.5894,鄰里公園,崇明路(崇明國中旁),東區區公所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.2,,,,,,,,,,,,1
31,臺南市,東區,170168.36,2542095.66,崇學公園,崇學里,0.16,鄰里公園,崇學路&崇德路口,東區區公所,鄰里,,1,2,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,2,,,1,,1,,,,,,,,,,,,,,,,,,,1,6,,12,,,,,,,,,,,,,,,1,,,,,,,,1,7,10,,,3,1,,,,,,,,,,,,,,,,1,,2,1,,,,,1,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.3,,,,,,,,,,1
32,臺南市,東區,170793.01,2541723.25,崇德公園,崇德里,0.42,鄰里公園,崇德七街47號,東區區公所,鄰里,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,3,,,1,,1,,,,1,,,1,,1,,,,,,,,,,,2,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,11,,,,,,6,1,21,,,,,1,3,,,,,,,1,,,,,,,,1,,3,2,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
33,臺南市,東區,171049.2,2541691.12,崇善公園,崇善里,0.5,鄰里公園,崇善四街,東區區公所,鄰里,,1,3,,,,,,,,,,,,1,,,,,,,1,,1,1,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,1,,,,,,10,18,,,,,1,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
34,臺南市,東區,169995.97,2541819.72,忠孝公園,忠孝里,0.3584,鄰里公園,榮譽街(榮民之家旁),東區區公所,鄰里,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,1,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,2,,,2,,,,,,,,8,,,,4,1,1,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
35,臺南市,東區,169568.8,2541822,大福公園,大福里,0.178,鄰里公園,立德四路&立德七路,東區區公所,鄰里,,1,2,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,1,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,13,11,,,5,1,1,,,,,,,,,,,,,,,1,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5.2,,,,,1,0.2,,,,,,1
36,臺南市,東區,170521.82,2544308.65,東興公園,大學里,2.39,區域公園,東和路、林森路二段,公園管理一科,大型,,1,,,1,,,,,,,,,,2,,1,2,,,,,1,,,1,,2,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,20,,19,24,,,,,,,,,,,,,,,4,,1,,,,,,144,,,,2,2,,,2,,,,,,,,,,,,,,,9,1,,,,,14,,,,,,,14,1,,1,1,,2,1,2,1,1,,1,3,,3,1,,1,1,1,1,1,1,1,1,2,1,,3,3,3,1,1,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1
37,臺南市,東區,170948.21,2544152.58,光明公園,小東里,0.42,鄰里公園,光明街175巷,東區區公所,,,1,2,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,6,,,,,,,,,16,,,,,,1,,,,,1,,,,,,20,,,,,1,2,,2,,,1,,,,,,,,,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.5,,,,,,,,,,,,1
38,臺南市,東區,169772.39,2542620.81,林森三角公園,龍山里,2.22,區域公園,林森路一段、長榮路一段路口,公園管理一科,大型,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,4,,33,5,,9,,,,1,,,,,,,,,,,1,,,,,1,26,,,,3,1,5,,,,,,,,,,,,,,,,3,4,2,,2,,1,6,4,,,,,,1,1,,1,1,,2,2,2,1,1,,1,3,,3,1,,1,1,1,1,1,1,1,1,2,1,,3,3,3,1,1,,,,,,,,1,1,1,1,1,1,1,1,,,,,,1,9.6,,,,,,,,,,,,1
39,臺南市,東區,171070.12,2540245.27,大智公園,大智里,0.27,鄰里公園,長東街,東區區公所,鄰里,,,,6,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,10,,,,,,,,2,,,,3,,,,1,8,,,,1,,,,,,,,,,,,,,,,,1,,1,3,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40,臺南市,東區,170194.1,2541572.6,巴克禮紀念公園(公18),崇明里,3.3312,區域公園,中華東路(文化中心對面),公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,29,38,,,,,,18,,,,,,,,,,,,,,,,,45,,,4,6,3,4,,4,,,,,,,,,,,,,1,1,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
41,臺南市,東區,170221.85,2541449.41,巴克禮紀念公園(公18)-河津櫻花區,崇明里,5.8,區域公園,中華東路(文化中心對面),公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
42,臺南市,東區,169149.29,2543270.11,東門圓環,東門、大同里；萬昌、開山里,0.213,區域公園,北門路、府前路圓環,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,10,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
43,臺南市,東區,171427.33,2543196.46,後甲圓環(綠7),後甲、東聖、富強、東光里,0.28,區域公園,東寧路、中華東路圓環,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
44,臺南市,東區,170517.75,2543539.56,東寧運動公園(公4),大學里,5.4,區域公園,林森路&東寧路口,公園管理一科,大型,,1,,,,,,,,,,,,,,1,1,1,,,,,,1,,,,,,1,1,,5,,,,1,2,,,1,1,1,,1,,1,,,1,,,1,1,,,,4,1,1,,,9,,12,8,,5,,,,,,,,,,2,,10,6,,2,,,4,,,53,1,,,3,,1,1,2,,,1,,,1,,,,,,,1,5,7,1,,1,6,1,4,,,,,,,3,1,,1,2,,3,3,3,,,,1,5,,5,1,,1,1,1,1,1,2,,2,3,3,3,3,6,6,4,1,,,,,,,,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1
45,臺南市,東區,170036.66,2542703.9,龍山段公E7,龍山里,1.54,區域公園,林森路一段、府連路口,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.2,1,0.4,,,,,,,,,,1
46,臺南市,安平區,,,國平自辦市地重劃區綠24,,0.7821,,,安平區公所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
47,臺南市,安平區,,,國平自辦市地重劃區公81,國平里,1.7555,,健康路三段南邊,工務局公園管理科,機關用地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
48,臺南市,安平區,166201.97,2543550.48,二二八紀念公園,建平里,0.9,區域公園,建平路&平通路&建平九街口,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,16,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,1
49,臺南市,安平區,162800.37,2544317.57,世平公園,金城里,1.35,區域公園,安平一路、世平路口,公園管理一科,大型,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,12,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.3,,,,,,,,,,,,1
50,臺南市,安平區,165121.47,2543216.22,府平公園,國平里,4.7,區域公園,郡平路、國平路、府平路,公園管理一科,大型,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,2,1,,3,,,,3,2,1,2,,,,1,,,,,,,2,1,1,,,,4,,2,,1,45,,4,19,,12,,,,,,,,,,7,,,,,8,,,,,,32,,,,,1,4,,,,,1,,2,,,,,,,,,3,3,1,,,,,5,5,,,,,,,,,,1,,1,1,1,2,1,,,4,4,,,,,1,1,1,1,1,,,3,,,3,3,3,1,2,,,,,,,,,1,1,1,1,1,,,,,,,,3,65,,,,,,,,,,,,1
51,臺南市,安平區,165846.36,2544039.4,慶平公園,建平里,2.52,區域公園,慶平路、文平路口,公園管理一科,大型,,,3,4,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,1,,,,2,,1,1,,,,,,,,,,,2,,,,,,,,2,,,,,6,,,5,,,,,,,,,,,,,5,,,1,,,,1,26,,,,,1,,,1,1,,,,,,,,,,,,,5,2,1,,,,,2,,,,,,,22,,,,1,,1,1,1,2,1,,,2,2,,,,,1,1,1,1,1,1,,3,,,3,3,3,1,,,,,,,,,,1,1,1,1,1,1,,,,,,,2,20,,,,,,,,,,,,1
52,臺南市,安平區,165168.12,2543906.34,華平公園(舊苗圃),華平里,1.2,區域公園,國平路&育平九街&怡平路&永華8街,公園管理一科,大型,,,2,2,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,1,,1,,1,1,1,1,,1,,,,,,,,,,1,,,,,,,,,,12,,,18,,,,,,,,,,,,8,,,,,,,,,,,14,,,,1,2,1,,,,,1,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
53,臺南市,安平區,164446.38,2544096.81,安億公園,平通里,1.63,區域公園,安億路,公園管理一科,大型,,1,1,3,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,1,,,2,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,1,8,,6,18,,6,,,,,,,,,,4,,,,,,3,,,,,14,20,,,2,1,,,4,2,1,1,,,,,,,,,,,3,1,,,,,,1,,,,,,,18,,,,4,,3,4,4,2,2,,,4,4,,,1,,2,2,2,1,2,,,,3,,3,3,3,1,,,,,,,,,,1,1,1,1,1,,,,,,,,2,4.8,,,,,1,12100,,,,,,1
54,臺南市,安平區,166169.88,2544249.78,運河南岸綠地,建平里,1.48,區域公園,運河南岸,公園管理一科,大型,,,4,3,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,1,2,,,,4,1,2,2,,1,,,,,,,,,,,,,,,1,,,,,,,25,,,3,,,,,,,,,,5,,,5,,,,,,,1,6,22,,,,3,,,,,,,,,,,,,,,,,,3,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.3,,,,,,,,,,,,1
55,臺南市,安平區,164327.46,2544277.45,運河景觀公園,華平里,2.6,區域公園,運河南岸(自安億橋至望月橋),公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,8,112,11,,,,4,,,,,,,,,,,,,,,,6,,5,,,5,4,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.5,,,,,,,,,,,,1
56,臺南市,安平區,163873.82,2543191.97,億載公園(公5),億載里,15.09,區域公園,光州路、億載金城旁,公園管理一科,大型,,1,,3,,,,,,,,,,,,,,1,,,1,,,1,,,,1,1,,,1,2,2,,,,3,2,1,2,,,1,1,1,1,1,1,1,1,3,1,,,,,5,1,,,1,81,,1,,,6,,,,,,,,,,4,2,6,1,,7,,,,2,2,2,226,,,,10,,,,4,,,,,,,,,,,,,,4,,,4,,,16,3,,93,173,7,6,4,2,,5,2,4,2,7,7,7,2,1,,12,,12,,,,2,4,4,3,2,2,,13,2,13,2,14,15,13,2,1,,,,,,,,3,5,5,3,2,2,,,,,,,6,112.5,,,,,,,,,,,,1
57,臺南市,安平區,165911.15,2543102.26,石珠公園,,1.04,區域公園,文平路、建平五街,公園管理一科,大型,,,2,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,1,1,,1,,,,,,,,,,,1,,,,,,,,,,2,,,23,,,,,,,,,,,,,,,,,,,,,,9,1,12,,,,,1,,,,,,1,1,,,,,,,,,1,,1,1,,,,,4,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,,,,,,,,,,,,1
58,臺南市,安平區,164243.73,2544175.82,港濱歷史公園,億載里,6.5,區域公園,安億路旁,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,82,,,,,,,,,,,,,,,,,,,,,,60,6,129,33,7,1,8,5,,,,,,,,,,,,,,,,,3,4,,,3,11,,15,1,,57,168,1,,,1,,4,1,,4,1,5,2,1,1,,5,5,,,,,1,1,3,1,2,1,1,7,1,7,,8,8,3,1,1,,,,,,,,1,3,3,1,9,1,1,,,,,,11,33.4,,,,,,,,,,,,1
59,臺南市,安平區,163677.28,2543837.3,林默娘紀念公園,億載里,2,區域公園,安億路旁,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,16,,,39,1,,,1,1,,,,,,,,,,,,,,,,,4,2,,,2,7,,3,3,,,,,,,1,,3,1,,4,5,4,2,2,,,8,8,,,,,1,1,2,1,1,,,10,1,10,1,11,11,2,2,,,,,,,,,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,1
60,臺南市,安平區,162332.8,2544079.19,環港步道(港專區),金城里,2.16,區域公園,安億路旁,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.36,,,,,,1
61,臺南市,安平區,162299.37,2543674.17,橋頭海灘公園,金城里,5,區域公園,四草大橋旁,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
62,臺南市,安平區,162817.87,2544630.65,湖濱水鳥公園,西門里,8.8,區域公園,安北路近四草大橋(鹽水溪畔),公園管理一科,大型,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,1,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,4,,2,,,,,,,,,,,,,,,,,,10,,1,,,3,5,7,,,,2,,,1,,,1,,,,,,,,1,,1,1,3,,,3,10,,,,,14,,,,2,2,,2,2,,4,4,4,3,3,1,,6,3,3,,,,2,2,2,2,5,,,6,1,,7,7,7,3,2,,,,,,,,,2,2,2,2,8,1,,,,,,,,,,,,,,,,,,,,1
63,臺南市,安平區,163664.95,2544849.69,安平區歷史水景公園,西門里,13.35,區域公園,安北路、安平路850巷,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,20,,40,,,,,,,,,,4,,,,,2,,,,,,,,5,150,100,,2,10,5,2,2,,1,,,,,,,,,,,,,,15,1,,,2,,5,,,,200,10,,,1,,7,1,7,1,8,8,2,1,1,,5,,5,,,,3,1,3,1,1,1,,7,1,7,1,8,8,2,1,1,,,,,,,,3,1,3,1,1,1,,,,,,,3,13.9,,,,,,,,,,,,1
64,臺南市,安平區,163520.92,2544764.14,鹽神白沙灘公園,西門里,13.35,區域公園,,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,3,,,,,,6,6,,,2,1,,,,,,,,,,,,,,,,,,5,,,1,,,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
65,臺南市,安平區,166284.33,2542801.83,馬雅各長青公園,文平里,1.8,區域公園,建平路與健康路(長青公寓旁),公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,1,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,6,,,,,,,,,,,37,24,16,,11,1,2,,,1,,,,,,,,,,,,,1,1,1,,,,,,,,42,,20,,,,,,2,,2,2,2,1,1,2,,2,,2,,,,1,1,3,,,,1,,2,,2,2,2,2,2,2,,2,,2,1,,,1,1,1,,,,2,,,,,,1,8.8,,,,,,,,,,,,1
66,臺南市,安平區,162069.63,2543976.96,安平區觀夕平台(保護區),金城里,0.4552,區域公園,漁光路旁,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,7,,,,,,,,,,,,,,,,,,,,,,,2,1,36,,1,,2,,,,,,,,,,,,,,,,1,,9,,,2,5,,11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
67,臺南市,安平區,164763.22,2544374.31,運河北岸綠地,港仔里,0.2,區域公園,運河北岸,公園管理一科,大型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,20,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,26,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,,,,,,,,,,,,1
68,臺南市,安平區,,,平安公園,平安里,0.03,鄰里公園,民權路4段,安平區公所,,,,1,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
69,臺南市,安平區,165003.09,2544076.82,平通公園,平通里,0.55,鄰里公園,平通路756巷102號,安平區公所,鄰里,,,,3,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,1,,,,1,1,,1,,1,,,,,,,,,,1,,,,,,,,,,,,5,,,4,,,,,,,,,,4,,,,,,,,,,,5,11,,,2,1,,,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
70,臺南市,安平區,164181.58,2543023.21,光州公園(公兒13)(原大世界公園),億載里,0.87,鄰里公園,光州一街29號,安平區公所,鄰里,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,2,,,5,,,,,,,,,,,,,,,,,,,,,,,10,,,,1,1,,,,,1,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
71,臺南市,安平區,166537.63,2543029.88,文平公園,文平里,0.54,鄰里公園,中華西路二段1號,安平區公所,鄰里,,1,4,2,,,,,,,,,,,,,,2,,,,,,,1,,,,,,2,,,1,,1,,1,,1,1,,1,,,,,,,,,1,,,,,,,,1,,1,,,6,,,11,,,,,,,,,,1,,1,2,,1,,,,,1,13,,,,6,,,,2,,1,,,,,,,,,,1,1,,1,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
72,臺南市,安平區,162770.45,2544161.15,世平公園2號,金城里,0.22,鄰里公園,世平路西邊,安平區公所,鄰里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,3,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,1
73,臺南市,安平區,163724.96,2544750.01,四季公園,西門里,0.6,鄰里公園,古堡街&安北路,安平區公所,鄰里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,11,12,13,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
