full_id,osm_id,osm_type,highway,old_name,maxheight,bridge_nam,lit,name_ja,embankment,maxspeed_t,motorroad,tunnel,motorcycle,motor_vehi,horse,foot,bicycle,cycleway_r,sidewalk,surface,cycleway_b,junction,ref_en,layer,bridge,oneway,maxspeed,lanes,ref_zh,ref,name_zh,name_en,name,xcoord,ycoord
w38367647,"38367647",way,secondary,,,,,,,,,,,,,,,,,,,,,,,yes,"50","2",,"177",???????????????,Yongda Road Section 2,???????????????,120.261744399999998,23.020771400000001
w38367647,"38367647",way,secondary,,,,,,,,,,,,,,,,,,,,,,,yes,"50","2",,"177",???????????????,Yongda Road Section 2,???????????????,120.261483299999995,23.021411900000000
w38367647,"38367647",way,secondary,,,,,,,,,,,,,,,,,,,,,,,yes,"50","2",,"177",???????????????,Yongda Road Section 2,???????????????,120.261403900000005,23.021888000000001
w38367647,"38367647",way,secondary,,,,,,,,,,,,,,,,,,,,,,,yes,"50","2",,"177",???????????????,Yongda Road Section 2,???????????????,120.261304300000006,23.022526400000000
w38367647,"38367647",way,secondary,,,,,,,,,,,,,,,,,,,,,,,yes,"50","2",,"177",???????????????,Yongda Road Section 2,???????????????,120.261191199999999,23.023261200000000
w38367652,"38367652",way,secondary,,,,,,,,,,,,,,,,,,,,"177","1",yes,yes,"40",,"177","177",???????????????,Yongkang Viaduct,???????????????,120.258984900000002,23.043601700000000
w38367652,"38367652",way,secondary,,,,,,,,,,,,,,,,,,,,"177","1",yes,yes,"40",,"177","177",???????????????,Yongkang Viaduct,???????????????,120.257617600000003,23.042494399999999
w38367652,"38367652",way,secondary,,,,,,,,,,,,,,,,,,,,"177","1",yes,yes,"40",,"177","177",???????????????,Yongkang Viaduct,???????????????,120.257483600000000,23.042356500000000
w38367652,"38367652",way,secondary,,,,,,,,,,,,,,,,,,,,"177","1",yes,yes,"40",,"177","177",???????????????,Yongkang Viaduct,???????????????,120.257409300000006,23.042216600000000
w38367652,"38367652",way,secondary,,,,,,,,,,,,,,,,,,,,"177","1",yes,yes,"40",,"177","177",???????????????,Yongkang Viaduct,???????????????,120.257419400000003,23.041934699999999
w38367652,"38367652",way,secondary,,,,,,,,,,,,,,,,,,,,"177","1",yes,yes,"40",,"177","177",???????????????,Yongkang Viaduct,???????????????,120.257780900000000,23.041033599999999
w38367652,"38367652",way,secondary,,,,,,,,,,,,,,,,,,,,"177","1",yes,yes,"40",,"177","177",???????????????,Yongkang Viaduct,???????????????,120.258012100000002,23.040514999999999
w41389171,"41389171",way,secondary,,,,,,,,,,,,,,,,,,,roundabout,,,,yes,,,,"182",???????????????,Dongmen Road Section 1,???????????????,120.217452300000005,22.987239500000001
w41389171,"41389171",way,secondary,,,,,,,,,,,,,,,,,,,roundabout,,,,yes,,,,"182",???????????????,Dongmen Road Section 1,???????????????,120.217169699999999,22.987315400000000
w41389171,"41389171",way,secondary,,,,,,,,,,,,,,,,,,,roundabout,,,,yes,,,,"182",???????????????,Dongmen Road Section 1,???????????????,120.217082199999993,22.987310999999998
w41389171,"41389171",way,secondary,,,,,,,,,,,,,,,,,,,roundabout,,,,yes,,,,"182",???????????????,Dongmen Road Section 1,???????????????,120.217019399999998,22.987286099999999
w41389171,"41389171",way,secondary,,,,,,,,,,,,,,,,,,,roundabout,,,,yes,,,,"182",???????????????,Dongmen Road Section 1,???????????????,120.216945400000000,22.987234800000000
w41389176,"41389176",way,secondary,,,,,,,,,,,,,,,,,,,,"182","1",yes,yes,,,"182","182",,,????????????,120.211526000000006,22.988563800000001
w41389176,"41389176",way,secondary,,,,,,,,,,,,,,,,,,,,"182","1",yes,yes,,,"182","182",,,????????????,120.211714000000001,22.988648500000000
w41389176,"41389176",way,secondary,,,,,,,,,,,,,,,,,,,,"182","1",yes,yes,,,"182","182",,,????????????,120.211814899999993,22.988725899999999
w41389178,"41389178",way,secondary,,,,,,,,,,,,,,,,,,,,"182","1",yes,yes,,,"182","182",,,????????????,120.211954599999999,22.988756899999998
w41389178,"41389178",way,secondary,,,,,,,,,,,,,,,,,,,,"182","1",yes,yes,,,"182","182",,,????????????,120.211876300000000,22.988817500000000
w41389178,"41389178",way,secondary,,,,,,,,,,,,,,,,,,,,"182","1",yes,yes,,,"182","182",,,????????????,120.211849900000004,22.988873500000000
w41389178,"41389178",way,secondary,,,,,,,,,,,,,,,,,,,,"182","1",yes,yes,,,"182","182",,,????????????,120.211832099999995,22.988964599999999
w41389178,"41389178",way,secondary,,,,,,,,,,,,,,,,,,,,"182","1",yes,yes,,,"182","182",,,????????????,120.211801399999999,22.989051499999999
w41389178,"41389178",way,secondary,,,,,,,,,,,,,,,,,,,,"182","1",yes,yes,,,"182","182",,,????????????,120.211756100000002,22.989141199999999
w41389178,"41389178",way,secondary,,,,,,,,,,,,,,,,,,,,"182","1",yes,yes,,,"182","182",,,????????????,120.211616599999999,22.989242099999998
w41389179,"41389179",way,secondary,,,,,,,,,,,,,,,,,asphalt,no,,,,,,,,,"182",???????????????,Dongmen Road Section 1,???????????????,120.215093999999993,22.987801500000000
w42449249,"42449249",way,secondary,,,,,,,,,,,,,,,,,,,,,,,yes,,,,"178",,,?????????,120.303552600000003,23.130554900000000
w42449625,"42449625",way,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,180???,?????????,Dawan Road,?????????,120.267771400000001,23.007335600000001
w42449625,"42449625",way,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,180???,?????????,Dawan Road,?????????,120.267587700000007,23.007004299999998
w42449625,"42449625",way,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,180???,?????????,Dawan Road,?????????,120.267258100000006,23.006402699999999
w42449625,"42449625",way,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,180???,?????????,Dawan Road,?????????,120.266977999999995,23.005860899999998
w42449625,"42449625",way,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,180???,?????????,Dawan Road,?????????,120.266854899999998,23.005634300000001
w42449625,"42449625",way,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,180???,?????????,Dawan Road,?????????,120.266505800000004,23.004991900000000
w42449625,"42449625",way,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,180???,?????????,Dawan Road,?????????,120.266364499999995,23.004740399999999
w42449625,"42449625",way,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,180???,?????????,Dawan Road,?????????,120.266237399999994,23.004506899999999
w42449625,"42449625",way,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,180???,?????????,Dawan Road,?????????,120.265975800000007,23.004015700000000
w42449625,"42449625",way,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,180???,?????????,Dawan Road,?????????,120.265507499999998,23.003136699999999
w42449625,"42449625",way,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,180???,?????????,Dawan Road,?????????,120.265051400000004,23.002247900000000
w42449625,"42449625",way,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,180???,?????????,Dawan Road,?????????,120.264706500000003,23.001562900000000
w42449625,"42449625",way,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,180???,?????????,Dawan Road,?????????,120.264658400000002,23.001500499999999
w42449625,"42449625",way,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,180???,?????????,Dawan Road,?????????,120.264595200000002,23.001425399999999
w42449625,"42449625",way,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,180???,?????????,Dawan Road,?????????,120.264504500000001,23.001340500000001
w42449625,"42449625",way,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,180???,?????????,Dawan Road,?????????,120.264377600000003,23.001286499999999
w42449625,"42449625",way,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,180???,?????????,Dawan Road,?????????,120.264204899999996,23.001226299999999
w42449625,"42449625",way,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,180???,?????????,Dawan Road,?????????,120.263249999999999,23.001023900000000
w42449625,"42449625",way,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,180???,?????????,Dawan Road,?????????,120.263121799999993,23.001000399999999
w65710743,"65710743",way,secondary,,,,,,,,,,,,,,,,,,,,"165",,,,,,"165","165",,,?????????,120.412310000000005,23.345393000000001
w65710743,"65710743",way,secondary,,,,,,,,,,,,,,,,,,,,"165",,,,,,"165","165",,,?????????,120.412221900000006,23.345242400000000
w65710743,"65710743",way,secondary,,,,,,,,,,,,,,,,,,,,"165",,,,,,"165","165",,,?????????,120.411762999999993,23.344667000000001
w65710743,"65710743",way,secondary,,,,,,,,,,,,,,,,,,,,"165",,,,,,"165","165",,,?????????,120.411552900000004,23.344387000000001
w65710743,"65710743",way,secondary,,,,,,,,,,,,,,,,,,,,"165",,,,,,"165","165",,,?????????,120.411163299999998,23.343859999999999
w65710743,"65710743",way,secondary,,,,,,,,,,,,,,,,,,,,"165",,,,,,"165","165",,,?????????,120.409713300000007,23.342055200000001
w65710743,"65710743",way,secondary,,,,,,,,,,,,,,,,,,,,"165",,,,,,"165","165",,,?????????,120.409348699999995,23.341582400000000
w65710743,"65710743",way,secondary,,,,,,,,,,,,,,,,,,,,"165",,,,,,"165","165",,,?????????,120.409080299999999,23.341238700000002
w65710743,"65710743",way,secondary,,,,,,,,,,,,,,,,,,,,"165",,,,,,"165","165",,,?????????,120.408773900000000,23.340846400000000
w65710743,"65710743",way,secondary,,,,,,,,,,,,,,,,,,,,"165",,,,,,"165","165",,,?????????,120.408494500000003,23.340370600000000
w97965408,"97965408",way,secondary,,,,,,,,,,,,,,,,,,,,"178","2",yes,,,,"178","178",????????????,Dacheng Viaduct,????????????,120.303552600000003,23.130554900000000
w97965408,"97965408",way,secondary,,,,,,,,,,,,,,,,,,,,"178","2",yes,,,,"178","178",????????????,Dacheng Viaduct,????????????,120.305141300000003,23.130838199999999
w97965408,"97965408",way,secondary,,,,,,,,,,,,,,,,,,,,"178","2",yes,,,,"178","178",????????????,Dacheng Viaduct,????????????,120.305222900000004,23.130844799999998
w97965408,"97965408",way,secondary,,,,,,,,,,,,,,,,,,,,"178","2",yes,,,,"178","178",????????????,Dacheng Viaduct,????????????,120.305310800000001,23.130841499999999
w97965408,"97965408",way,secondary,,,,,,,,,,,,,,,,,,,,"178","2",yes,,,,"178","178",????????????,Dacheng Viaduct,????????????,120.305451199999993,23.130832699999999
w97965408,"97965408",way,secondary,,,,,,,,,,,,,,,,,,,,"178","2",yes,,,,"178","178",????????????,Dacheng Viaduct,????????????,120.305699700000005,23.130776500000000
w97965408,"97965408",way,secondary,,,,,,,,,,,,,,,,,,,,"178","2",yes,,,,"178","178",????????????,Dacheng Viaduct,????????????,120.305871100000005,23.130734499999999
w97965408,"97965408",way,secondary,,,,,,,,,,,,,,,,,,,,"178","2",yes,,,,"178","178",????????????,Dacheng Viaduct,????????????,120.306482200000005,23.130568300000000
w97965416,"97965416",way,secondary,,,,,,,,,,,,,,,,,,,,,,,yes,,"2",,"178",,,,120.331091900000004,23.123949300000000
w97965416,"97965416",way,secondary,,,,,,,,,,,,,,,,,,,,,,,yes,,"2",,"178",,,,120.329960400000004,23.124236700000001
w97965416,"97965416",way,secondary,,,,,,,,,,,,,,,,,,,,,,,yes,,"2",,"178",,,,120.329845199999994,23.124267600000000
w97965416,"97965416",way,secondary,,,,,,,,,,,,,,,,,,,,,,,yes,,"2",,"178",,,,120.328829200000001,23.124536599999999
w97965416,"97965416",way,secondary,,,,,,,,,,,,,,,,,,,,,,,yes,,"2",,"178",,,,120.327529799999994,23.124899899999999
w97965416,"97965416",way,secondary,,,,,,,,,,,,,,,,,,,,,,,yes,,"2",,"178",,,,120.325949300000005,23.125319399999999
w100985494,"100985494",way,secondary,,,,,,,,,,,,,,,,,,,,,,,yes,,,,"172",???????????????,"Section 1, ZhangRong Road",???????????????,120.316274100000001,23.319775199999999
w100985494,"100985494",way,secondary,,,,,,,,,,,,,,,,,,,,,,,yes,,,,"172",???????????????,"Section 1, ZhangRong Road",???????????????,120.317744700000006,23.319826500000001
w100985494,"100985494",way,secondary,,,,,,,,,,,,,,,,,,,,,,,yes,,,,"172",???????????????,"Section 1, ZhangRong Road",???????????????,120.318451600000003,23.319854599999999
w100985494,"100985494",way,secondary,,,,,,,,,,,,,,,,,,,,,,,yes,,,,"172",???????????????,"Section 1, ZhangRong Road",???????????????,120.319299000000001,23.319890000000001
w100985494,"100985494",way,secondary,,,,,,,,,,,,,,,,,,,,,,,yes,,,,"172",???????????????,"Section 1, ZhangRong Road",???????????????,120.320021400000002,23.319942200000000
w100985494,"100985494",way,secondary,,,,,,,,,,,,,,,,,,,,,,,yes,,,,"172",???????????????,"Section 1, ZhangRong Road",???????????????,120.320313799999994,23.319958900000000
w100985494,"100985494",way,secondary,,,,,,,,,,,,,,,,,,,,,,,yes,,,,"172",???????????????,"Section 1, ZhangRong Road",???????????????,120.321177300000002,23.320012100000000
w100985494,"100985494",way,secondary,,,,,,,,,,,,,,,,,,,,,,,yes,,,,"172",???????????????,"Section 1, ZhangRong Road",???????????????,120.321319399999993,23.320021600000000
w100985494,"100985494",way,secondary,,,,,,,,,,,,,,,,,,,,,,,yes,,,,"172",???????????????,"Section 1, ZhangRong Road",???????????????,120.322179599999998,23.320049500000000
w100985510,"100985510",way,secondary,,,,,,,,,,,,,,,,,,,,"172",,,yes,,,"172","172",???????????????,"Section 1, ZhangRong Road",???????????????,120.332775400000003,23.317805799999999
w100985510,"100985510",way,secondary,,,,,,,,,,,,,,,,,,,,"172",,,yes,,,"172","172",???????????????,"Section 1, ZhangRong Road",???????????????,120.332930800000000,23.317702600000001
w100985527,"100985527",way,secondary,,,,,,,,,,,,,,,,,,,,"172","1",yes,yes,,,"172","172",???????????????,"Section 1, ZhangRong Road",???????????????,120.328749900000005,23.319583300000001
w100985527,"100985527",way,secondary,,,,,,,,,,,,,,,,,,,,"172","1",yes,yes,,,"172","172",???????????????,"Section 1, ZhangRong Road",???????????????,120.329349800000003,23.319454700000001
w100985527,"100985527",way,secondary,,,,,,,,,,,,,,,,,,,,"172","1",yes,yes,,,"172","172",???????????????,"Section 1, ZhangRong Road",???????????????,120.329657499999996,23.319377100000001
w100985527,"100985527",way,secondary,,,,,,,,,,,,,,,,,,,,"172","1",yes,yes,,,"172","172",???????????????,"Section 1, ZhangRong Road",???????????????,120.329852000000002,23.319315899999999
w100985527,"100985527",way,secondary,,,,,,,,,,,,,,,,,,,,"172","1",yes,yes,,,"172","172",???????????????,"Section 1, ZhangRong Road",???????????????,120.330990400000005,23.318921300000000
