臺南市焚化廠名稱,郵遞區號,CountyCode,AreaCode,Village,StreetDoorPlate
永康焚化廠,710,67000,67000310,,王行東路166號
城西焚化廠,709,67000,67000350,,城西街三段1105巷121弄150號
