"contentType","isImage","data__活動中心名稱","data__CountyCode","data__AreaCode","data__Village","data__StreetDoorPlate","data__經度","data__緯度","errorCode","id","message","success"
"","","日新里活動中心","67000","67000330","鹽埕里","利南街136號","22.9715578","120.1888414","","","",""
"","","明亮里活動中心","67000","67000330","明亮里","新都路396號","22.9671617","120.1947185","","","",""
"","","新生里活動中心","67000","67000330","新生里","大同路二段136巷5弄12號","22.9782979","120.2122857","","","",""
"","","大恩里活動中心","67000","67000330","大恩里","大同路2段750巷186號","22.9764515","120.2139283","","","",""
"","","南華里活動中心","67000","67000330","南華里","中華南路2段400巷2弄29號","22.9621334","120.1855877","","","",""
"","","彰南里活動中心","67000","67000330","彰南里","新建路12號","22.9670605","120.1852731","","","",""
"","","振興里活動中心","67000","67000340","振興里","林森路三段181號","23.0066086","120.2241747","","","",""
"","","新勝里活動中心","67000","67000340","新勝里","北園街8巷8、10號1-3樓","23.0104763","120.2233442","","","",""
"","","長勝里活動中心","67000","67000340","長勝里","長榮路5段41巷46號","23.0101118","120.220657","","","",""
"","","公園里活動中心","67000","67000340","公園里","公園南路39號","23.0001564","120.2116196","","","",""
"","","永祥里活動中心","67000","67000340","永祥里","實踐街85巷2號","23.0145383","120.2195684","","","",""
"","","北門里文康活動中心","67000","67000340","北門里","實踐街17之1號","23.0144071","120.2174478","","","",""
"","","成功里活動中心","67000","67000340","成功里","中華北路二段237號之1","23.0216251","120.2054456","","","",""
"","","大光里活動中心","67000","67000340","大光里","公園路758巷43號","23.010478","120.2121782","","","",""
"","","光武里活動中心","67000","67000340","大光里","北門路二段591號","23.0119894","120.2164217","","","",""
"","","小北里活動中心","67000","67000340","小北里","公園路433巷15號一樓","23.0077939","120.2090093","","","",""
"","","文成元美文元里聯合活動中心","67000","67000340","元美里","和緯路3段370號","23.0098197","120.1938369","","","",""
"","","賢北里文康活動中心","67000","67000340","賢北里","賢北街108號","23.0092109","120.1827755","","","",""
"","","和順里活動中心","67000","67000340","和順里","公園南路406號","23.0038331","120.201242","","","",""
"","","開元元寶里活動中心","67000","67000340","元寶里","北園街114巷11號","23.0095693","120.2231774","","","",""
"","","仁愛里活動中心","67000","67000340","仁愛里","東豐路227巷24弄17號","23.0039327","120.2205535","","","",""
"","","國興里活動中心","67000","67000340","國興里","南園街101巷71弄11號","23.0081474","120.2258835","","","",""
"","","玉皇里活動中心","67000","67000340","北華里","佑民街45號","22.9990941","120.2058412","","","",""
"","","北華里活動中心","67000","67000340","北華里","長北街50號","23.0008064","120.2040991","","","",""
"","","大豐里活動中心","67000","67000340","大豐里","武聖路315號","23.008084","120.1872052","","","",""
"","","大興里活動中心","67000","67000340","大興里","公園路634巷75號","23.007706","120.2117463","","","",""
"","","華德福德成德里聯合活動中心","67000","67000340","成德里","育德三街42號","23.0154955","120.2015215","","","",""
"","","長興里活動中心","67000","67000340","長興里","長德街101號","23.0081495","120.2259414","","","",""
"","","正覺里活動中心","67000","67000340","正覺里","公園路769巷20弄5號","23.0185183","120.2148619","","","",""
"","","溪頂溪東里聯合活動中心","67000","67000350","溪頂、溪東里","府安路四段220號","23.0247031","120.2056536","","","",""
"","","國安活動中心","67000","67000350","國安里","郡安路六段111巷36弄2號","23.0272041","120.184923","","","",""
"","","原佃里活動中心","67000","67000350","原佃里","本原街一段167巷36弄46號","23.0500038","120.1981523","","","",""
"","","布袋里活動中心","67000","67000350","布袋里","長和路四段231巷60弄41號","23.063187","120.2067996","","","",""
"","","青草里活動中心","67000","67000350","青草里","青砂街二段371巷2號","23.0603192","120.127133","","","",""
"","","溪北里活動中心","67000","67000350","溪北里","文安街66號","23.0269613","120.21291","","","",""
"","","安慶里活動中心","67000","67000350","安慶里","長溪路一段168巷133號","23.0392988","120.2102618","","","",""
"","","鹽田里活動中心","67000","67000350","鹽田里","鹽田路28號","23.0345496","120.1474717","","","",""
"","","海南里活動中心","67000","67000350","海南里","府安路七段1巷2號","23.0148177","120.1813159","","","",""
"","","砂崙里活動中心","67000","67000350","砂崙里","城北路871巷94弄17號","23.0791702","120.1275447","","","",""
"","","州北里活動中心","67000","67000350","州北里","安昌街22號","23.0675635","120.2176763","","","",""
"","","安西里活動中心","67000","67000350","安西里","安西路101號","23.0322146","120.2089995","","","",""
"","","公塭里活動中心","67000","67000350","公塭里","育英街116號","23.0634855","120.159168","","","",""
"","","城西里活動中心","67000","67000350","城西里","城西街三段431號","23.0573373","120.0967744","","","",""
"","","學東里活動中心","67000","67000350","學東里","公學路六段661號","23.0787413","120.1436496","","","",""
"","","溪墘里活動中心","67000","67000350","溪墘里","海佃路一段372巷50號","23.0278017","120.1908657","","","",""
"","","梅花里活動中心","67000","67000350","梅花里","安中路一段557巷25號","23.0416867","120.1998451","","","",""
"","","平安里活動中心","67000","67000360","平安里","民權路四段325號","22.9991348","120.1769407","","","",""
"","","華平里活動中心","67000","67000360","華平里","育平九街195號","22.9950102","120.1719866","","","",""
"","","金城里活動中心","67000","67000360","金城里","運河路43號之1","22.9983541","120.1608919","","","",""
"","","平通里活動中心","67000","67000360","平通里","平通路580巷102號","22.9970291","120.1705753","","","",""
"","","億載里活動中心","67000","67000360","億載里","光州一街29號","22.9859391","120.1618339","","","",""
"","","文平里活動中心","67000","67000360","文平里","中華西路2段1巷1號","22.9634247","120.184005","","","",""
"","","國平里活動中心","67000","67000360","國平里","建平七街409號","22.9891959","120.176482","","","",""
"","","建平里活動中心","67000","67000360","建平里","府前三街27號","22.9949668","120.1855767","","","",""
"","","漁光里活動中心","67000","67000360","漁光里","漁光路89巷39之1號","22.9769339","120.1599892","","","",""
"","","天妃里活動中心","67000","67000360","天妃里","安北路16巷17弄45號","23.000772","120.167199","","","",""
