,id,left,top,right,bottom,活動中心,郵局,公車站,火車站,加油站,停車場,腳踏車,寺廟,大賣場,服飾,便利商店,超市美妝,電子賣場,銀行,ATM,大學,高中,國小,國中,補習班,嫌惡設施_危險,嫌惡設施_殯葬,嫌惡設施_髒亂,食物,診所,醫院,禮品百貨,觀光景點,房屋稅數量,地段率總和,折舊年數總和,平均地段率,平均折舊年數,EPSG3857_X,EPSG3857_Y,距最近火車站距離,公園,土地單價,預測值
19,20,13373240.3256,2633236.2673,13373340.3256,2633136.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2633186.2673,8114.72818704906,0,,93.73294067382812
20,21,13373240.3256,2633136.2673,13373340.3256,2633036.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2633086.2673,8099.67806411637,0,,93.88319206237793
21,22,13373240.3256,2633036.2673,13373340.3256,2632936.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2632986.2673,8085.63690570843,0,,93.9516773223877
22,23,13373240.3256,2632936.2673,13373340.3256,2632836.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2632886.2673,8072.60999545137,0,,94.50583839416504
23,24,13373240.3256,2632836.2673,13373340.3256,2632736.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2632786.2673,8060.60226959298,0,,94.75067043304443
24,25,13373240.3256,2632736.2673,13373340.3256,2632636.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2632686.2673,8049.6183079526,0,,95.05597400665283
25,26,13373240.3256,2632636.2673,13373340.3256,2632536.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2632586.2673,8039.66232544618,0,,94.62474727630615
26,27,13373240.3256,2632536.2673,13373340.3256,2632436.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2632486.2673,8030.73816420708,0,,94.36854076385498
27,28,13373240.3256,2632436.2673,13373340.3256,2632336.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2632386.2673,8022.84928633938,0,,94.742751121521
28,29,13373240.3256,2632336.2673,13373340.3256,2632236.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2632286.2673,8015.99876734361,0,,94.76450061798096
29,30,13373240.3256,2632236.2673,13373340.3256,2632136.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2632186.2673,8010.18929022711,0,,95.40432167053223
30,31,13373240.3256,2632136.2673,13373340.3256,2632036.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2632086.2673,8005.42314034536,0,,96.23742294311523
31,32,13373240.3256,2632036.2673,13373340.3256,2631936.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2631986.2673,8001.70220098188,0,,96.89926719665527
32,33,13373240.3256,2631936.2673,13373340.3256,2631836.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2631886.2673,7999.02794969035,0,,95.9863166809082
33,34,13373240.3256,2631836.2673,13373340.3256,2631736.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2631786.2673,7997.40145541972,0,,95.09760856628418
34,35,13373240.3256,2631736.2673,13373340.3256,2631636.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2631686.2673,7996.82337643194,0,,94.40804100036621
35,36,13373240.3256,2631636.2673,13373340.3256,2631536.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2631586.2673,7997.29395902076,0,,94.19150257110596
