Unnamed: 0,匯入時間,統計時間,銀行代號,分支機構代號,金融機構名稱,分支機構名稱,地址,lat,lng
957,20211201,202110,5,854,臺灣土地銀行,學甲分行,台南市學甲區中正路303號,23.2351212,120.1805221
960,20211201,202110,5,898,臺灣土地銀行,白河分行,台南市白河區三民路395號,23.3516486,120.414829
974,20211201,202110,5,1046,臺灣土地銀行,新市分行,台南市新市區復興路10號,23.0803001,120.2955267
979,20211201,202110,5,1091,臺灣土地銀行,安平分行,台南市安平區中華西路二段23號,22.987004100000004,120.1864848
1015,20211201,202110,5,1471,臺灣土地銀行,安南分行,台南市安南區海佃路三段47號,23.0481734,120.1828149
1019,20211201,202110,5,1518,臺灣土地銀行,大灣分行,台南市永康區永大路二段1062號,23.0181093,120.2628024
1058,20211201,202110,6,291,合作金庫商業銀行,新營分行,台南市新營區中山路115號,23.3049975,120.31848909999998
1059,20211201,202110,6,305,合作金庫商業銀行,台南分行,台南市北區成功路48號,22.9981268,120.2077396
1060,20211201,202110,6,316,合作金庫商業銀行,成功分行,台南市中西區北門路一段97號,22.991732100000004,120.2114408
1086,20211201,202110,6,615,合作金庫商業銀行,佳里分行,台南市佳里區和平街83號,23.1622146,120.1779922
1093,20211201,202110,6,682,合作金庫商業銀行,南興分行,台南市中西區民生路二段72號,22.9952591,120.1972326
1123,20211201,202110,6,1014,合作金庫商業銀行,成大分行,台南市北區勝利路138號,23.00218030000001,120.2189867
1142,20211201,202110,6,1232,合作金庫商業銀行,東台南分行,台南市東區中華東路二段197號,22.9842931,120.232584
1164,20211201,202110,6,1472,合作金庫商業銀行,北台南分行,台南市北區西門路三段159號,23.003707,120.2041106
1170,20211201,202110,6,1531,合作金庫商業銀行,永康分行,台南市永康區中正南路328號,23.0317842,120.227293
1241,20211201,202110,6,5218,合作金庫商業銀行,赤崁分行,台南市北區成功路204號,22.9990597,120.20350630000002
1242,20211201,202110,6,5229,合作金庫商業銀行,府城分行,台南市南區健康路二段380號,22.982307,120.187187
1243,20211201,202110,6,5230,合作金庫商業銀行,開元分行,台南市北區開元路147號,23.0068857,120.2186281
1282,20211201,202110,6,5698,合作金庫商業銀行,北新營分行,台南市新營區民治路360號,23.3057492,120.3031798
1283,20211201,202110,6,5702,合作金庫商業銀行,仁德分行,台南市仁德區中正路三段4號,22.9718833,120.251855
1284,20211201,202110,6,5713,合作金庫商業銀行,南永康分行,台南市永康區中華路202號,23.0048271,120.23552990000002
1446,20211201,202110,7,6010,第一商業銀行,台南分行,台南市中西區忠義路二段82號,22.9939538,120.2033508
1447,20211201,202110,7,6021,第一商業銀行,運河分行(客戶移撥台南分行服務),台南市中西區忠義路2段82號,22.9939538,120.2033508
1448,20211201,202110,7,6043,第一商業銀行,富強分行,台南市東區東門路三段31號,22.980849,120.230751
1449,20211201,202110,7,6054,第一商業銀行,赤崁分行,台南市中西區成功路217號,22.998563,120.2043342
1450,20211201,202110,7,6065,第一商業銀行,竹溪分行,台南市中西區大同路一段98號,22.9861169,120.2109177
1451,20211201,202110,7,6076,第一商業銀行,金城分行,台南市南區夏林路105號,22.98198,120.1952666
1452,20211201,202110,7,6087,第一商業銀行,安南分行,台南市安南區海佃路二段500號,23.0403202,120.1878415
1453,20211201,202110,7,6113,第一商業銀行,新營分行,台南市新營區中山路150號,23.3046539,120.3163979
1454,20211201,202110,7,6216,第一商業銀行,鹽水分行,台南市鹽水區三福路57號,23.3208178,120.26579209999998
1455,20211201,202110,7,6227,第一商業銀行,麻豆分行,台南市麻豆區興中路12號,23.1836014,120.24883490000002
1456,20211201,202110,7,6238,第一商業銀行,善化分行,台南市善化區中山路366號,23.1322951,120.292973
1457,20211201,202110,7,6249,第一商業銀行,佳里分行,台南市佳里區延平路288之1號,23.1604889,120.178538
