Unnamed: 0,匯入時間,縣市,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
18242,20211201,台南市,永康區,房地(土地+建物)+車位,,23.44,都市：其他:住宅區,,,1081206,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100820.0,128.63,2,1,1,有,有,7130000.0,63425.0,坡道平面,36.71,1300000.0,預售屋、或土地及建物分件登記案件；,RPSNMLKMRHGGFKD78DA,53.15,5.31,0.0,有
18243,20211201,台南市,永康區,房地(土地+建物)+車位,,23.44,都市：其他:住宅區,,,1081111,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100820.0,128.63,2,1,1,有,有,7380000.0,65057.0,坡道平面,36.71,1400000.0,預售屋、或土地及建物分件登記案件；,RPTNMLKMRHGGFKD88DA,53.15,5.31,0.0,有
18244,20211201,台南市,永康區,房地(土地+建物)+車位,,23.44,都市：其他:住宅區,,,1081027,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100820.0,128.63,2,1,1,有,有,7230000.0,63425.0,坡道平面,36.71,1400000.0,預售屋、或土地及建物分件登記案件；,RPUNMLKMRHGGFKD98DA,53.15,5.31,0.0,有
18245,20211201,台南市,永康區,房地(土地+建物)+車位,,23.44,都市：其他:住宅區,,,1090316,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100820.0,128.68,2,1,1,有,有,6210000.0,56866.0,坡道平面,36.71,980000.0,親友、員工、共有人或其他特殊關係間之交易；預售屋、或土地及建物分件登記案件；,RPWNMLKMRHGGFKD56DA,53.24,5.27,0.0,有
18246,20211201,台南市,永康區,房地(土地+建物)+車位,,23.44,都市：其他:住宅區,,,1081118,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100820.0,128.68,2,1,1,有,有,7380000.0,65021.0,坡道平面,36.71,1400000.0,預售屋、或土地及建物分件登記案件；,RPXNMLKMRHGGFKD66DA,53.24,5.27,0.0,有
18247,20211201,台南市,永康區,房地(土地+建物)+車位,,23.44,都市：其他:住宅區,,,1081118,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100820.0,128.68,2,1,1,有,有,7400000.0,65239.0,坡道平面,36.71,1400000.0,預售屋、或土地及建物分件登記案件；,RPOOMLKMRHGGFKD48DA,53.24,5.27,0.0,有
18248,20211201,台南市,永康區,房地(土地+建物)+車位,,23.44,都市：其他:住宅區,,,1081118,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100820.0,128.68,2,1,1,有,有,7420000.0,65456.0,坡道平面,36.71,1400000.0,預售屋、或土地及建物分件登記案件；,RPPOMLKMRHGGFKD58DA,53.24,5.27,0.0,有
18249,20211201,台南市,永康區,土地,,5.16,都市：其他:住宅區,,,1100826,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,546490.0,105909.0,,0.0,0.0,親友、員工、共有人或其他特殊關係間之交易；,RPQOMLKMRHGGFKD68DA,0.0,0.0,0.0,無
18250,20211201,台南市,永康區,土地,,9.76,都市：其他:工業區,,,1100826,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1033480.0,105889.0,,0.0,0.0,土地增值稅由買方負擔親友、員工、共有人或其他特殊關係間之交易；,RPROMLKMRHGGFKD78DA,0.0,0.0,0.0,無
18251,20211201,台南市,永康區,土地,,0.55,都市：其他:工業區,,,1100826,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,83200.0,0.0,,0.0,0.0,土地增值稅由買方負擔親友、員工、共有人或其他特殊關係間之交易；,RPSOMLKMRHGGFKD88DA,0.0,0.0,0.0,無
18252,20211201,台南市,永康區,房地(土地+建物)+車位,,31.25,都市：其他:住宅區,,,1080910,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100820.0,159.17000000000004,3,1,2,有,有,9330000.0,64756.0,坡道平面,36.71,1400000.0,預售屋、或土地及建物分件登記案件；,RPVNMLLJIIGGFKD08DA,72.54,5.4,0.0,有
18253,20211201,台南市,永康區,房地(土地+建物)+車位,,16.68,都市：其他:商業區,,,1100911,土地1建物1車位1,十二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1050512.0,160.1,3,2,2,有,有,13200000.0,82448.0,坡道平面,22.0,0.0,,RPQPMLKMRHGGFKD78DA,79.69,14.91,0.0,有
18254,20211201,台南市,永康區,房地(土地+建物)+車位,,30.76,都市：其他:住宅區,,,1100401,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100820.0,159.06,3,1,2,有,有,9200000.0,63752.0,坡道平面,36.71,1400000.0,預售屋、或土地及建物分件登記案件；,RPRNMLLJIIGGFKD67DA,72.43,5.4,0.0,有
18255,20211201,台南市,永康區,房地(土地+建物)+車位,,31.74,都市：其他:住宅區,,,1080926,土地1建物1車位2,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100820.0,195.88,3,1,2,有,有,10080000.0,61081.0,坡道平面,73.42,2600000.0,預售屋、或土地及建物分件登記案件；,RPTOMLLJIIGGFKD97DA,72.54,5.4,0.0,有
18256,20211201,台南市,永康區,房地(土地+建物)+車位,,31.25,都市：其他:住宅區,,,1090303,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100820.0,159.18,3,1,2,有,有,8920000.0,61403.0,坡道平面,36.71,1400000.0,預售屋、或土地及建物分件登記案件；,RPUOMLLJIIGGFKD08DA,72.55,5.4,0.0,有
18257,20211201,台南市,永康區,房地(土地+建物)+車位,,23.44,都市：其他:住宅區,,,1081104,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100820.0,128.76,2,1,1,有,有,7200000.0,64096.0,坡道平面,36.71,1300000.0,預售屋、或土地及建物分件登記案件；,RPVOMLLJIIGGFKD18DA,53.28,5.31,0.0,有
18258,20211201,台南市,永康區,房地(土地+建物)+車位,,31.74,都市：其他:住宅區,,,1100401,土地1建物1車位2,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100820.0,195.89,3,1,2,有,有,10060000.0,60913.0,坡道平面,73.42,2600000.0,預售屋、或土地及建物分件登記案件；,RPOPMLLJIIGGFKD57DA,72.55,5.4,0.0,有
18259,20211201,台南市,永康區,房地(土地+建物)+車位,,23.44,都市：其他:住宅區,,,1080905,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100820.0,128.63,2,1,1,有,有,7100000.0,63098.0,坡道平面,36.71,1300000.0,預售屋、或土地及建物分件登記案件；,RPPPMLLJIIGGFKD67DA,53.15,5.31,0.0,有
18260,20211201,台南市,永康區,房地(土地+建物)+車位,,23.44,都市：其他:住宅區,,,1090113,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100820.0,128.63,2,1,1,有,有,7320000.0,64404.0,坡道平面,36.71,1400000.0,預售屋、或土地及建物分件登記案件；,RPQPMLLJIIGGFKD77DA,53.15,5.31,0.0,有
18261,20211201,台南市,永康區,房地(土地+建物)+車位,,23.44,都市：其他:住宅區,,,1090122,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100820.0,128.74,2,1,1,有,有,7580000.0,66065.0,坡道平面,36.71,1500000.0,預售屋、或土地及建物分件登記案件；,RPRPMLLJIIGGFKD87DA,53.26,5.31,0.0,有
18262,20211201,台南市,永康區,房地(土地+建物)+車位,,24.42,都市：其他:住宅區,,,1090611,土地1建物1車位1,一層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土構造,1100820.0,133.37,1,1,1,有,有,8200000.0,70350.0,坡道平面,36.71,1400000.0,預售屋、或土地及建物分件登記案件；,RPSPMLLJIIGGFKD97DA,61.5,0.0,0.0,有
18263,20211201,台南市,永康區,房地(土地+建物)+車位,,31.25,都市：其他:住宅區,,,1100328,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100820.0,159.18,3,1,2,有,有,9580000.0,65975.0,坡道平面,36.71,1500000.0,預售屋、或土地及建物分件登記案件；,RPTPMLLJIIGGFKD08DA,72.55,5.4,0.0,有
18264,20211201,台南市,永康區,房地(土地+建物)+車位,,31.25,都市：其他:住宅區,,,1090506,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100820.0,159.18,3,1,2,有,有,9150000.0,64097.0,坡道平面,36.71,1300000.0,預售屋、或土地及建物分件登記案件；,RPUPMLLJIIGGFKD18DA,72.55,5.4,0.0,有
18265,20211201,台南市,永康區,房地(土地+建物)+車位,,31.25,都市：其他:住宅區,,,1080918,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100820.0,159.11,3,1,2,有,有,9290000.0,64461.0,坡道平面,36.71,1400000.0,預售屋、或土地及建物分件登記案件；,RPWPMLLJIIGGFKD38DA,72.52,5.36,0.0,有
