Unnamed: 0,匯入時間,統計時間,商家名稱,縣市,門市,地址,lat,lng
4739,20211201,202110,7_11,台南市,同發,台南市安平區安北路170-3號1樓,23.00295,120.161085
4740,20211201,202110,7_11,台南市,安平,台南市安平區安平路99號,22.999488,120.164505
4741,20211201,202110,7_11,台南市,安期,台南市安平區慶平路60號62號,22.997059,120.182945
4742,20211201,202110,7_11,台南市,安運,台南市安平區平安里華平路742號1樓,22.999092,120.176061
4743,20211201,202110,7_11,台南市,府城,台南市安平區永華路二段532號,22.990939,120.17402
4744,20211201,202110,7_11,台南市,怡平,台南市安平區文平路462號1樓,22.994182,120.178988
4745,20211201,202110,7_11,台南市,南建平,台南市安平區建平路19、21、23號1樓,22.983672,120.18137
4746,20211201,202110,7_11,台南市,建平,台南市安平區建平七街689號,22.990075,120.168897
4747,20211201,202110,7_11,台南市,昜昇,台南市安平區安北路12-1號1樓,22.999463,120.167982
4748,20211201,202110,7_11,台南市,郡豐,台南市安平區郡平路307號,22.989476,120.164115
4749,20211201,202110,7_11,台南市,國平,台南市安平區平通里國平路381號,22.99368,120.171329
4750,20211201,202110,7_11,台南市,康平,台南市安平區健康三街81號,22.986913,120.168224
4751,20211201,202110,7_11,台南市,期建,台南市安平區文平里建平路277號,22.988472,120.182161
4752,20211201,202110,7_11,台南市,華平,台南市安平區健康路三段242號,22.983824,120.173835
4753,20211201,202110,7_11,台南市,慶平,台南市安平區慶平路235號1樓,22.99666,120.177513
4754,20211201,202110,7_11,台南市,慶國,台南市安平區慶平路531號,22.997173,120.171861
4755,20211201,202110,7_11,台南市,豐平,台南市安平區平豐路430號1樓,22.994243,120.163899
4756,20211201,202110,7_11,台南市,三村,台南市永康區鹽行里仁愛街68號70號1樓,23.044292,120.2392
4757,20211201,202110,7_11,台南市,大橋,台南市永康區大橋里中華路747號,23.018166,120.226521
4758,20211201,202110,7_11,台南市,大灣,台南市永康區大灣路951號,22.998909,120.252913
4759,20211201,202110,7_11,台南市,工館,台南市永康區崑大路195號,22.998306,120.252456
4760,20211201,202110,7_11,台南市,五王,台南市永康區中華二路146號1樓,23.008652,120.237868
4761,20211201,202110,7_11,台南市,仁發,台南市永康區東橋里東橋六街61號,23.019754,120.234606
4762,20211201,202110,7_11,台南市,仁灣,台南市永康區大仁街11巷1號,23.000415,120.256723
4763,20211201,202110,7_11,台南市,文炳,台南市永康區南台街1號,23.022274,120.225014
4764,20211201,202110,7_11,台南市,台南蔡,台南市永康區中正南路628號,23.03806,120.233705
4765,20211201,202110,7_11,台南市,正新,台南市永康區甲頂里大武街33號,23.020179,120.222518
4766,20211201,202110,7_11,台南市,永一,台南市永康區正強街221號1樓,23.029252,120.251554
4767,20211201,202110,7_11,台南市,永大春,台南市永康區中山北路431號,23.029338,120.268115
4768,20211201,202110,7_11,台南市,永正,台南市永康區永康里中山南路537號,23.023957,120.252807
4769,20211201,202110,7_11,台南市,永玉,台南市永康區龍潭里永明街175號,23.024692,120.26255
4770,20211201,202110,7_11,台南市,永科,台南市永康區新樹里3鄰中山北路634巷7號,23.030692,120.277864
4771,20211201,202110,7_11,台南市,永高,台南市永康區鹽興里中正北路185號,23.041813,120.243476
4772,20211201,202110,7_11,台南市,永強,台南市永康區埔園里中正路102號,23.03032,120.254376
4773,20211201,202110,7_11,台南市,永勝,台南市永康區六合里中華二路320號1樓,23.008609,120.231988
4774,20211201,202110,7_11,台南市,永復,台南市永康區復華里復華一街2號,23.005485,120.245963
4775,20211201,202110,7_11,台南市,永愛,台南市永康區北灣里文賢街80-1號,23.007534,120.271658
4776,20211201,202110,7_11,台南市,永新,台南市永康區中正北路122號,23.04144,120.242394
4777,20211201,202110,7_11,台南市,永嘉,台南市永康區二王路139號,23.018774,120.24885
4778,20211201,202110,7_11,台南市,永燕,台南市永康區中山南路518號,23.018165,120.240141
4779,20211201,202110,7_11,台南市,永臻,台南市永康區中山東路59號,23.014071,120.236285
4780,20211201,202110,7_11,台南市,永龍,台南市永康區埔園里中山路398號,23.035407,120.254793
4781,20211201,202110,7_11,台南市,玉山,台南市永康區永明街97號,23.02487,120.260659
4782,20211201,202110,7_11,台南市,白金,台南市永康區復國一路357號,23.012156,120.246457
4783,20211201,202110,7_11,台南市,伍鈺,台南市永康區永華路406號408號,23.012878,120.259096
4784,20211201,202110,7_11,台南市,好巧,台南市永康區安康里中華西街152號,23.015629,120.226057
4785,20211201,202110,7_11,台南市,安興,台南市永康區北灣里20鄰北興路51號,23.014159,120.264223
4786,20211201,202110,7_11,台南市,西勢,台南市永康區西勢里富強路一段304號,23.019667,120.275468
4787,20211201,202110,7_11,台南市,辰佳,台南市永康區永大路二段11號,23.001347,120.259554
4788,20211201,202110,7_11,台南市,奇蹟,台南市永康區永大路三段299號,23.034542,120.259363
4789,20211201,202110,7_11,台南市,尚頂,台南市永康區中正南路314號,23.031141,120.226684
4790,20211201,202110,7_11,台南市,忠勇,台南市永康區成功里小東路4鄰637號1樓,22.998788,120.238247
4791,20211201,202110,7_11,台南市,東江,台南市永康區尚頂里23鄰南台街43號1樓,23.022244,120.22282
4792,20211201,202110,7_11,台南市,東橋,台南市永康區東橋一路28號,23.017135,120.235281
4793,20211201,202110,7_11,台南市,信雄,台南市永康區南台街1號,23.022274,120.225014
4794,20211201,202110,7_11,台南市,南台,台南市永康區南台街1號1樓,23.025251,120.226414
4795,20211201,202110,7_11,台南市,南科大,台南市永康區中正路529號,23.037001,120.23835
4796,20211201,202110,7_11,台南市,南應大,台南市永康區鹽行里中正七街27.29號1樓,23.040069,120.239998
4797,20211201,202110,7_11,台南市,南瀛,台南市永康區鹽行里中正路299號,23.033683,120.245242
4798,20211201,202110,7_11,台南市,埔園,台南市永康區中山路90號,23.0285,120.256718
4799,20211201,202110,7_11,台南市,庭園,台南市永康區埔園里龍國街77號,23.032711,120.259972
4800,20211201,202110,7_11,台南市,時尚,台南市永康區鹽洲里仁愛街19號21號1樓,23.04298,120.23837
4801,20211201,202110,7_11,台南市,桂田,台南市永康區鹽行里新行街251號一樓,23.044136,120.242026
4802,20211201,202110,7_11,台南市,崑教,台南市永康區崑大路195號,22.998306,120.252456
4803,20211201,202110,7_11,台南市,康永,台南市永康區永康里永平街120號,23.021893,120.263411
4804,20211201,202110,7_11,台南市,康西,台南市永康區永大路二段440號,23.007062,120.262129
4805,20211201,202110,7_11,台南市,康橋,台南市永康區中山南路12-5號,23.011801,120.227118
4806,20211201,202110,7_11,台南市,康興,台南市永康區中華路196號1樓,23.004487,120.23562
4807,20211201,202110,7_11,台南市,創意,台南市永康區鹽行里中正二街268號,23.029865,120.234456
4808,20211201,202110,7_11,台南市,復康,台南市永康區二王里忠孝路429巷15弄6號,23.018249,120.243461
4809,20211201,202110,7_11,台南市,華東,台南市永康區中華路472號,23.011046,120.232548
4810,20211201,202110,7_11,台南市,華勇,台南市永康區華興街122號1、2樓,23.000846,120.237007
4811,20211201,202110,7_11,台南市,華康,台南市永康區中華路10巷2號1樓、中華路8-7號1樓,22.999763,120.235005
4812,20211201,202110,7_11,台南市,詠文,台南市永康區網寮里6鄰永二街202號,23.015912,120.252168
4813,20211201,202110,7_11,台南市,詠信,台南市永康區復華七街68號,23.014314,120.246578
4814,20211201,202110,7_11,台南市,感恩,台南市永康區烏竹里自強路825-1號,23.037789,120.264164
4815,20211201,202110,7_11,台南市,新奇美,台南市永康區甲頂里中正南路52巷73號75號1樓,23.021075,120.221283
4816,20211201,202110,7_11,台南市,新東灣,台南市永康區民族路186號188號1樓,23.005274,120.269784
4817,20211201,202110,7_11,台南市,新家專,台南市永康區鹽行里中正路12鄰545號1樓,23.039663,120.238827
4818,20211201,202110,7_11,台南市,新真愛,台南市永康區東橋六街208號1樓,23.020945,120.236909
4819,20211201,202110,7_11,台南市,新康華,台南市永康區大橋二街38號,23.018767,120.227404
4820,20211201,202110,7_11,台南市,雋鈺,台南市永康區西灣里永華路157號,23.009397,120.259539
4821,20211201,202110,7_11,台南市,鈺華,台南市永康區崑南里37鄰大仁街220號,23.005888,120.258347
4822,20211201,202110,7_11,台南市,鈺廣,台南市永康區大灣里民族路409號一樓,23.007815,120.266285
4823,20211201,202110,7_11,台南市,精工,台南市永康區中正北路735號,23.046626,120.262531
4824,20211201,202110,7_11,台南市,蔦松,台南市永康區中正北路431號433號,23.042221,120.254556
4825,20211201,202110,7_11,台南市,橋富,台南市永康區大橋二街130、132號,23.019964,120.229233
4826,20211201,202110,7_11,台南市,橋鈺,台南市永康區東橋七路369號1樓,23.024685,120.2351
4827,20211201,202110,7_11,台南市,臻品,台南市永康區三合里中山東路117號119號1樓,23.012576,120.236817
4828,20211201,202110,7_11,台南市,臻鈺,台南市永康區勝利里18鄰勝學路226號,23.006132,120.231284
4829,20211201,202110,7_11,台南市,興灣,台南市永康區南灣里大灣東路63號1樓,22.998843,120.261073
4830,20211201,202110,7_11,台南市,龍橋,台南市永康區烏竹里7鄰龍橋街406號,23.042619,120.262954
4831,20211201,202110,7_11,台南市,雙永,台南市永康區永大一路60號1樓,23.017965,120.260593
4832,20211201,202110,7_11,台南市,雙鈺,台南市永康區永華路399號1樓,23.017815,120.257377
4833,20211201,202110,7_11,台南市,瓏埔,台南市永康區龍埔街108號,23.034232,120.263524
