Unnamed: 0,匯入時間,統計時間,縣市ID,縣市名稱,鄉鎮市區ID,鄉鎮市區名稱,CODE3,用水度數
8068,20210301,201901,67000,臺南市,67000010,新營區,A6700001001,21297.56
8069,20210301,201901,67000,臺南市,67000010,新營區,A6700001002,19698.42
8070,20210301,201901,67000,臺南市,67000010,新營區,A6700001003,24368.44
8071,20210301,201901,67000,臺南市,67000010,新營區,A6700001004,17065.96
8072,20210301,201901,67000,臺南市,67000010,新營區,A6700001005,49050.98
8073,20210301,201901,67000,臺南市,67000010,新營區,A6700001006,23187.35
8074,20210301,201901,67000,臺南市,67000010,新營區,A6700001007,24084.28
8075,20210301,201901,67000,臺南市,67000010,新營區,A6700001008,25588.01
8076,20210301,201901,67000,臺南市,67000010,新營區,A6700001009,25159.26
8077,20210301,201901,67000,臺南市,67000010,新營區,A6700001010,18786.06
8078,20210301,201901,67000,臺南市,67000010,新營區,A6700001011,22386.61
8079,20210301,201901,67000,臺南市,67000010,新營區,A6700001012,29674.14
8080,20210301,201901,67000,臺南市,67000010,新營區,A6700001013,27688.73
8081,20210301,201901,67000,臺南市,67000010,新營區,A6700001014,24093.97
8082,20210301,201901,67000,臺南市,67000010,新營區,A6700001015,29928.62
8083,20210301,201901,67000,臺南市,67000010,新營區,A6700001016,31803.71
8084,20210301,201901,67000,臺南市,67000010,新營區,A6700001017,28439.2
8085,20210301,201901,67000,臺南市,67000010,新營區,A6700001018,21681.96
8086,20210301,201901,67000,臺南市,67000010,新營區,A6700001019,24167.27
8087,20210301,201901,67000,臺南市,67000010,新營區,A6700001020,22860.92
8088,20210301,201901,67000,臺南市,67000010,新營區,A6700001021,21458.42
8089,20210301,201901,67000,臺南市,67000010,新營區,A6700001022,16288.26
8090,20210301,201901,67000,臺南市,67000010,新營區,A6700001023,26691.55
8091,20210301,201901,67000,臺南市,67000010,新營區,A6700001024,98537.15
8092,20210301,201901,67000,臺南市,67000010,新營區,A6700001025,35788.97
8093,20210301,201901,67000,臺南市,67000010,新營區,A6700001026,
8094,20210301,201901,67000,臺南市,67000010,新營區,A6700001027,14859.98
8095,20210301,201901,67000,臺南市,67000010,新營區,A6700001028,17496.47
8096,20210301,201901,67000,臺南市,67000020,鹽水區,A6700002001,
8097,20210301,201901,67000,臺南市,67000020,鹽水區,A6700002002,28324.07
8098,20210301,201901,67000,臺南市,67000020,鹽水區,A6700002003,16140.58
8099,20210301,201901,67000,臺南市,67000020,鹽水區,A6700002004,22168.14
8100,20210301,201901,67000,臺南市,67000020,鹽水區,A6700002005,24633.63
8101,20210301,201901,67000,臺南市,67000020,鹽水區,A6700002006,17792.25
8102,20210301,201901,67000,臺南市,67000020,鹽水區,A6700002007,16608.4
8103,20210301,201901,67000,臺南市,67000020,鹽水區,A6700002008,
8104,20210301,201901,67000,臺南市,67000020,鹽水區,A6700002009,45852.98
8105,20210301,201901,67000,臺南市,67000020,鹽水區,A6700002010,21555.44
8106,20210301,201901,67000,臺南市,67000020,鹽水區,A6700002011,16381.73
8107,20210301,201901,67000,臺南市,67000020,鹽水區,A6700002012,
8108,20210301,201901,67000,臺南市,67000020,鹽水區,A6700002013,10773.3
8109,20210301,201901,67000,臺南市,67000030,白河區,A6700003001,23373.33
8110,20210301,201901,67000,臺南市,67000030,白河區,A6700003002,12819.76
8111,20210301,201901,67000,臺南市,67000030,白河區,A6700003003,14912.35
8112,20210301,201901,67000,臺南市,67000030,白河區,A6700003004,21449.67
8113,20210301,201901,67000,臺南市,67000030,白河區,A6700003005,23619.13
8114,20210301,201901,67000,臺南市,67000030,白河區,A6700003006,24454.13
8115,20210301,201901,67000,臺南市,67000030,白河區,A6700003007,26950.04
8116,20210301,201901,67000,臺南市,67000030,白河區,A6700003008,14828.35
8117,20210301,201901,67000,臺南市,67000030,白河區,A6700003009,22943.64
8118,20210301,201901,67000,臺南市,67000030,白河區,A6700003010,18878.76
8119,20210301,201901,67000,臺南市,67000030,白河區,A6700003011,40411.6
8120,20210301,201901,67000,臺南市,67000040,柳營區,A6700004001,15155.91
8121,20210301,201901,67000,臺南市,67000040,柳營區,A6700004002,
8122,20210301,201901,67000,臺南市,67000040,柳營區,A6700004003,12846.71
8123,20210301,201901,67000,臺南市,67000040,柳營區,A6700004004,42461.84
8124,20210301,201901,67000,臺南市,67000040,柳營區,A6700004005,32009.77
8125,20210301,201901,67000,臺南市,67000040,柳營區,A6700004006,75133.44
8126,20210301,201901,67000,臺南市,67000040,柳營區,A6700004007,29411.91
8127,20210301,201901,67000,臺南市,67000040,柳營區,A6700004008,45274.41
8128,20210301,201901,67000,臺南市,67000040,柳營區,A6700004009,14955.29
8129,20210301,201901,67000,臺南市,67000040,柳營區,A6700004010,25894.53
8130,20210301,201901,67000,臺南市,67000050,後壁區,A6700005001,15693.6
8131,20210301,201901,67000,臺南市,67000050,後壁區,A6700005002,23980.43
8132,20210301,201901,67000,臺南市,67000050,後壁區,A6700005003,15525.4
8133,20210301,201901,67000,臺南市,67000050,後壁區,A6700005004,74.78
8134,20210301,201901,67000,臺南市,67000050,後壁區,A6700005005,15321.88
8135,20210301,201901,67000,臺南市,67000050,後壁區,A6700005006,18279.8
8136,20210301,201901,67000,臺南市,67000050,後壁區,A6700005007,23471.93
8137,20210301,201901,67000,臺南市,67000050,後壁區,A6700005008,60612.86
8138,20210301,201901,67000,臺南市,67000050,後壁區,A6700005009,21627.21
8139,20210301,201901,67000,臺南市,67000050,後壁區,A6700005010,16116.71
8140,20210301,201901,67000,臺南市,67000050,後壁區,A6700005011,
