Unnamed: 0,匯入時間,統計時間,裝設金融機構代號,裝設金融機構名稱,裝設地點,裝設縣市,裝設地址,lat,lng
1380,20211201,202110,6,合作金庫商業銀行,北新營分行,台南市,台南市新營區民治路360號,23.3057492,120.3031798
1381,20211201,202110,6,合作金庫商業銀行,台南分行,台南市,台南市北區成功路48號,22.9981268,120.2077396
1382,20211201,202110,6,合作金庫商業銀行,台南市立醫院,台南市,台南市東區崇德路670號,22.9687059,120.2268128
1383,20211201,202110,6,合作金庫商業銀行,台灣糖業股份有限公司(油品事業部),台南市,台南市新營區中興路31巷4號,23.2995859,120.3170623
1384,20211201,202110,6,合作金庫商業銀行,台灣糖業股份有限公司(畜殖事業部),台南市,台南市柳營區義士路五段690號,23.292297,120.3136227
1385,20211201,202110,6,合作金庫商業銀行,永康分行,台南市,台南市永康區中正南路328號,23.0317842,120.227293
1386,20211201,202110,6,合作金庫商業銀行,永康科技工業區,台南市,台南市永康區永科三路99號,23.0412892,120.2776997
1387,20211201,202110,6,合作金庫商業銀行,兆豐證券(新營分公司),台南市,台南市新營區中山路116號,23.3054763,120.3188069
1388,20211201,202110,6,合作金庫商業銀行,成大分行(成大醫院),台南市,台南市北區勝利路138號,23.00218030000001,120.2189867
1389,20211201,202110,6,合作金庫商業銀行,成大醫院第二大樓一樓,台南市,台南市北區小東路35號,23.0017178,120.217767
1390,20211201,202110,6,合作金庫商業銀行,成大醫院第二大樓二樓,台南市,台南市北區小東路35號,23.0017178,120.217767
1391,20211201,202110,6,合作金庫商業銀行,成功分行,台南市,台南市中西區北門路一段97號,22.991732100000004,120.2114408
1392,20211201,202110,6,合作金庫商業銀行,赤崁分行,台南市,台南市北區成功路204號,22.9990597,120.20350630000002
1393,20211201,202110,6,合作金庫商業銀行,佳里分行,台南市,台南市佳里區和平街83號,23.1622146,120.1779922
1394,20211201,202110,6,合作金庫商業銀行,府城分行,台南市,台南市南區健康路二段380號,22.982307,120.187187
1395,20211201,202110,6,合作金庫商業銀行,東台南分行,台南市,台南市東區中華東路二段197號,22.9842931,120.232584
1396,20211201,202110,6,合作金庫商業銀行,法務部執行署臺南分署,台南市,台南市中西區忠義路一段125巷12號,22.9892101,120.2020222
1397,20211201,202110,6,合作金庫商業銀行,南永康分行,台南市,台南市永康區中華路202號,23.0048271,120.23552990000002
1398,20211201,202110,6,合作金庫商業銀行,南興分行,台南市,台南市中西區民生路二段72號,22.9952591,120.1972326
1399,20211201,202110,6,合作金庫商業銀行,國立成功大學醫學院附設醫院(第二大樓),台南市,台南市北區小東路35號,23.0017178,120.217767
1400,20211201,202110,6,合作金庫商業銀行,康芙產後護理之家,台南市,台南市北區中華北路2段101號,23.0197088,120.1984428
1401,20211201,202110,6,合作金庫商業銀行,開元分行,台南市,台南市北區開元路147號,23.0068857,120.2186281
1402,20211201,202110,6,合作金庫商業銀行,新營分行,台南市,台南市新營區中山路115號,23.3049975,120.31848909999998
1403,20211201,202110,6,合作金庫商業銀行,嘉南藥理科技大學,台南市,台南市仁德區二仁路一段60號,22.9209971,120.2253459
1404,20211201,202110,6,合作金庫商業銀行,聯華電子南科廠,台南市,台南市新市區南科二路18號,23.0955162,120.2789979
1742,20211201,202110,7,第一商業銀行,三星科技,台南市,台南市歸仁區中山路三段355號,22.968287300000004,120.2790415
1743,20211201,202110,7,第一商業銀行,大灣分行,台南市,台南市永康區永大路二段5號,23.00106,120.25928799999998
1744,20211201,202110,7,第一商業銀行,台南分行,台南市,台南市中西區忠義路二段82號,22.9939538,120.2033508
1745,20211201,202110,7,第一商業銀行,台積電十八廠B,台南市,台南市安定區北園二路8號,23.1167396,120.26565490000002
1746,20211201,202110,7,第一商業銀行,台積電十八廠P1,台南市,台南市安平區北園二路8號,23.1167396,120.26565490000002
1747,20211201,202110,7,第一商業銀行,台積電十四廠P1,台南市,台南市善化區南科北路1之1號,23.11346,120.2722
1748,20211201,202110,7,第一商業銀行,台積電十四廠P3,台南市,台南市善化區南科北路1之1號,23.11346,120.2722
1749,20211201,202110,7,第一商業銀行,台積電十四廠P5,台南市,台南市善化區南科九路17號,23.1180866,120.27402990000002
1750,20211201,202110,7,第一商業銀行,台積電十四廠P7,台南市,台南市善化區三抱竹路1號,23.1087834,120.2668501
1751,20211201,202110,7,第一商業銀行,台灣積體電路南科六廠,台南市,台南市善化區南科北路1號,23.11346,120.2722
1752,20211201,202110,7,第一商業銀行,永康分行,台南市,台南市永康區中正南路109號,23.02254,120.216563
1753,20211201,202110,7,第一商業銀行,安南分行,台南市,台南市安南區海佃路二段500號,23.0403202,120.1878415
1754,20211201,202110,7,第一商業銀行,成功啤酒廠,台南市,台南市善化區成功路2號,23.1272949,120.31929
1755,20211201,202110,7,第一商業銀行,竹溪分行,台南市,台南市中西區大同路一段98號,22.9861169,120.2109177
1756,20211201,202110,7,第一商業銀行,赤崁分行,台南市,台南市中西區成功路217號,22.998563,120.2043342
1757,20211201,202110,7,第一商業銀行,佳里分行,台南市,台南市佳里區延平路288-1號,23.1605076,120.1784817
1758,20211201,202110,7,第一商業銀行,金城分行,台南市,台南市南區夏林路105號,22.98198,120.1952666
1759,20211201,202110,7,第一商業銀行,長榮大學第三宿舍,台南市,台南市歸仁區長榮路一段396號,22.9099405,120.27405
1760,20211201,202110,7,第一商業銀行,南科園區分行,台南市,台南市新市區南科三路15號,23.0985836,120.2834062
1761,20211201,202110,7,第一商業銀行,麻豆分行,台南市,台南市麻豆區興中路12號,23.1836014,120.24883490000002
1762,20211201,202110,7,第一商業銀行,富強分行,台南市,台南市東區東門路三段31號,22.980849,120.230751
1763,20211201,202110,7,第一商業銀行,善化分行,台南市,台南市善化區中山路366號,23.1322951,120.292973
1764,20211201,202110,7,第一商業銀行,新化分行,台南市,台南市新化區中正路374號,23.0354801,120.3082884
1765,20211201,202110,7,第一商業銀行,新營分行,台南市,台南市新營區中山路150號,23.3046539,120.3163979
1766,20211201,202110,7,第一商業銀行,漢民科技-南科廠-四樓餐廳,台南市,台南市新市區科學園區大利一路5號,23.108573,120.279342
1767,20211201,202110,7,第一商業銀行,歸仁分行,台南市,台南市歸仁區中山路2段55號,22.966841,120.29258
1768,20211201,202110,7,第一商業銀行,鹽水分行,台南市,台南市鹽水區三福路57號,23.3208178,120.26579209999998
2159,20211201,202110,8,華南商業銀行,仁德分行,台南市,台南市仁德區中山路511號,22.9712547,120.2540824
2160,20211201,202110,8,華南商業銀行,北台南分行,台南市,台南市北區成功路294號,22.9997152,120.2016701
2161,20211201,202110,8,華南商業銀行,台南分行,台南市,台南市中西區永福路二段154號,22.9946722,120.20172209999998
