匯入時間,統計時間,縣市,停車場名稱,停車場地址,汽車停車位數,機車停車位數,lat,lng
20211201,202110,台南,大橋里活動中心路外停車場,臺南市永康區大橋里活動中心東側及南側停車格,28,0,23.020674,120.229056
20211201,202110,台南,體育園區羅公亭路外停車場,臺南市南區大林路與體育路交叉口,25,0,22.97417,120.20737
20211201,202110,台南,林森路一段58巷路外停車場,臺南市東區林森路一段56巷與58巷交叉處,10,0,22.980795,120.212881
20211201,202110,台南,河中街路外停車場,臺南市中西區中西區河中街與河中街43巷交叉口,10,0,22.995886,120.193263
20211201,202110,台南,大勇街92巷路外停車場,臺南市中西區府前路二段235巷與金華路三段92巷交叉口,26,0,22.990395,120.191033
20211201,202110,台南,文心文孝路外停車場,臺南市仁德區仁德區文心路與文孝路交叉口,136,72,22.971606,120.240831
20211201,202110,台南,忠孝路路外停車場,臺南市永康區永康區忠孝路永仁高中對面,62,0,23.003239,120.239926
20211201,202110,台南,永華國華臨時路外停車場(機車停車格),臺南市南區國華街與永華路交叉口(藍曬圖文創園區後門),0,21,22.987132,120.196353
20211201,202110,台南,崇善路龍山停車場(台灣國際事業開發有限公司營運),臺南市東區崇善路51號旁(竹篙厝段1678-66(部分)、1679-3、1680(部分)地號,144,21,22.982593,120.221534
20211201,202110,台南,東光路地下停車場(台灣國際開發事業有限公司營運),臺南市東區東光路1段76號,231,0,22.992491,120.231296
20211201,202110,台南,廣二機車停車場(台灣國際開發事業有限公司營運),臺南市東區中華東路3段380巷西側,0,377,22.974407,120.219962
20211201,202110,台南,新營南瀛綠都心停車場(竑穗興業股份有限公司經營),臺南市新營區民權里中正路23-1號B1,279,0,23.3097726,120.3162504
20211201,202110,台南,公園南路停車場(俥亭停車事業股份有限公司經營),臺南市北區海安路與公園南路口,170,0,23.002911,120.200498
20211201,202110,台南,臺南市榮譽街停車場(竑穗興業股份有限公司營運),臺南市東區榮譽街與崇明路口,323,157,22.976453,120.220222
20211201,202110,台南,臺南萬昌街停車場(竑穗興業股份有限公司經營),臺南市中西區青年路226巷6弄路口(中西區萬昌段240-1、241地號),24,0,22.991089,120.210416
