Unnamed: 0,匯入時間,統計時間,工廠名稱,地址,中行業別,細行業別,耗用原料,主要產品,lat,lng
55290,20211201,202110,隆宜實業有限公司,臺南市安南區安東里安和路二段１５０巷２５號,其他製造業,眼鏡製造業,,精密光學、鐘錶製造業,23.0398460200938,120.215971528518
55291,20211201,202110,泰暘電子有限公司,臺南市安南區安慶里長溪路一段３０３巷６、８號,電力設備業,配線器材製造業,,插座,23.0384369016646,120.207154432701
55292,20211201,202110,銘瑋電子股份有限公司,臺南市安南區安慶里長溪路一段３０３巷８號,電力設備業,配線器材製造業,,插頭,23.0384369016646,120.207154432701
55293,20211201,202110,華龍工作所,臺南市安南區安慶里長溪路一段１６２號,金屬製品業,未分類其他金屬製品製造業,,吊扇零件,23.0366567172383,120.209971621095
55294,20211201,202110,冠美科技股份有限公司,臺南市安南區安東里安和路二段５８號,塑膠製品業,其他塑膠製品製造業,,塑膠製品,23.0375995203116,120.21442623879
55295,20211201,202110,廣燿企業有限公司,臺南市安南區安東里安和路二段１５０巷２６號,金屬製品業,未分類其他金屬製品製造業,,汽機車零件、五金零件,23.0396091145466,120.216016904191
55296,20211201,202110,長長興塑膠工業有限公司長溪廠,臺南市安南區安慶里長溪路一段１４６巷５號,塑膠製品業,其他塑膠製品製造業,,塑膠製品（家庭用品）,23.0365176577812,120.210370318564
55297,20211201,202110,宗利實業社,臺南市安南區安慶里長溪路一段１５２號,其他運輸工具零件業,機車零件製造業,,機車零件裝配,23.0365311962068,120.210133829769
55298,20211201,202110,冠美科技股份有限公司二廠,臺南市安南區安東里安和路二段５４巷４０號Ａ區,塑膠製品業,其他塑膠製品製造業,,塑膠外殼組、鐵製車架組、電子控制器配線組、車燈組、輪胎、馬達、電池組,23.0373966979644,120.214424975465
55299,20211201,202110,隆宜實業有限公司安和廠,臺南市安南區新順里安和路二段１８８巷１８號,其他製造業,眼鏡製造業,,眼鏡製造,23.0406808611787,120.216501685384
55300,20211201,202110,東佑典實業股份有限公司,臺南市安南區新順里政安路１９號,塑膠製品業,塑膠外殼及配件製造業,,塑膠製品,23.041998371181503,120.21652363013
55301,20211201,202110,日通實業工廠,臺南市安南區新順里頂安街２６號,塑膠製品業,其他塑膠製品製造業,,塑膠盒、臉盆、桶子,23.0437447783339,120.215937742747
55302,20211201,202110,日通實業工廠第二廠,臺南市安南區新順里頂安街２４號,塑膠製品業,其他塑膠製品製造業,,塑膠盒、臉盆、桶子,23.0437447783339,120.215937742747
55303,20211201,202110,寶洸實業有限公司,臺南市安南區頂安里長溪路一段３７５號,其他運輸工具零件業,機車零件製造業,,機車零件之加工,23.0397035181828,120.205977530795
55304,20211201,202110,隆宜實業有限公司二廠,臺南市安南區安東里安和路二段１５０巷４１號,其他製造業,眼鏡製造業,,醫療器材及用品,23.03995217439489,120.216455552581
55305,20211201,202110,銘泰五金工業股份有限公司,臺南市安南區安西里安和路一段４５９巷１６號,金屬製品業,未分類其他金屬製品製造業,,金屬鎖,23.0363290977826,120.212650725929
55306,20211201,202110,宏元電器股份有限公司,臺南市安南區安慶里安中路一段１３０巷３４號,電力設備業,其他家用電器製造業,,電扇、家用電器,23.036683413799,120.20853797903
55307,20211201,202110,機德精密工業股份有限公司,臺南市安南區新順里安生街１１７號,金屬製品業,金屬模具製造業,,沖床模具,23.045537468726696,120.214416503981
55308,20211201,202110,冠美科技股份有限公司三廠,臺南市安南區安東里安和路二段５４巷２０號,塑膠製品業,其他塑膠製品製造業,,塑膠製品、機車零件,23.0375018305694,120.215047934908
55309,20211201,202110,伯通塑膠工業股份有限公司,臺南市安南區新順里頂安街２號,塑膠製品業,其他塑膠製品製造業,,塑膠製品,23.0436345073986,120.216226517945
55310,20211201,202110,冠美科技股份有限公司安南廠,臺南市安南區安東里安和路二段３６巷６號,塑膠製品業,其他塑膠製品製造業,,塑膠製品,23.0370269032358,120.214513468446
55311,20211201,202110,金重開發股份有限公司,臺南市安南區安東里安和路二段３６巷２號,金屬製品業,金屬模具製造業,,金屬模具,23.0370269032358,120.214513468446
