Unnamed: 0,匯入時間,統計時間,縣市ID,縣市名稱,鄉鎮市區ID,鄉鎮市區名稱,CODE3,用電戶數,用電度數,電費總額
8123,20210301,201901,67000,臺南市,67000040,柳營區,A6700004004,3200.0,475900.00000000006,921600.0
8124,20210301,201901,67000,臺南市,67000040,柳營區,A6700004005,1705.0,495600.0,836900.0
8125,20210301,201901,67000,臺南市,67000040,柳營區,A6700004006,1478.0,355700.0,569800.0
8126,20210301,201901,67000,臺南市,67000040,柳營區,A6700004007,3269.0,617900.0,1501800.0
8127,20210301,201901,67000,臺南市,67000040,柳營區,A6700004008,3196.0,433100.0,712800.0
8128,20210301,201901,67000,臺南市,67000040,柳營區,A6700004009,3197.0,391600.0,493100.0
8129,20210301,201901,67000,臺南市,67000040,柳營區,A6700004010,1360.0,301100.0,445300.0
8130,20210301,201901,67000,臺南市,67000050,後壁區,A6700005001,3060.0,467200.0,803600.0
8131,20210301,201901,67000,臺南市,67000050,後壁區,A6700005002,4223.0,546300.0,985800.0
8132,20210301,201901,67000,臺南市,67000050,後壁區,A6700005003,2106.0,587400.0,1113400.0
8133,20210301,201901,67000,臺南市,67000050,後壁區,A6700005004,22.0,4300.0,3600.0
8134,20210301,201901,67000,臺南市,67000050,後壁區,A6700005005,3094.0,515100.0,973200.0
8135,20210301,201901,67000,臺南市,67000050,後壁區,A6700005006,3287.0,403600.0,595300.0
8136,20210301,201901,67000,臺南市,67000050,後壁區,A6700005007,3292.0,445000.0,636100.0
8137,20210301,201901,67000,臺南市,67000050,後壁區,A6700005008,3287.0,620000.0,1547200.0
8138,20210301,201901,67000,臺南市,67000050,後壁區,A6700005009,2063.0,463400.00000000006,845600.0
8139,20210301,201901,67000,臺南市,67000050,後壁區,A6700005010,4223.0,467700.00000000006,891500.0
8140,20210301,201901,67000,臺南市,67000050,後壁區,A6700005011,38.0,1300.0,2900.0
8141,20210301,201901,67000,臺南市,67000060,東山區,A6700006001,1717.0,473300.0,1085000.0
8142,20210301,201901,67000,臺南市,67000060,東山區,A6700006002,2690.0,370600.0,816600.0
8143,20210301,201901,67000,臺南市,67000060,東山區,A6700006003,1318.0,368100.0,759200.0
8144,20210301,201901,67000,臺南市,67000060,東山區,A6700006004,,0.0,0.0
8145,20210301,201901,67000,臺南市,67000060,東山區,A6700006005,1406.0,372100.0,719300.0000000001
8146,20210301,201901,67000,臺南市,67000060,東山區,A6700006006,2690.0,303600.0,501400.0
8147,20210301,201901,67000,臺南市,67000060,東山區,A6700006007,3434.0,387600.0,495900.00000000006
8148,20210301,201901,67000,臺南市,67000060,東山區,A6700006008,1929.0,459400.0,800400.0000000001
8149,20210301,201901,67000,臺南市,67000060,東山區,A6700006009,3421.0,336400.0,349200.0
8150,20210301,201901,67000,臺南市,67000060,東山區,A6700006010,2244.0,417100.0,803000.0
8151,20210301,201901,67000,臺南市,67000070,麻豆區,A6700007001,2502.0,1369100.0,3586600.0000000005
8152,20210301,201901,67000,臺南市,67000070,麻豆區,A6700007002,2545.0,702600.0,1748899.9999999998
8153,20210301,201901,67000,臺南市,67000070,麻豆區,A6700007003,3918.0,657400.0,955400.0
8154,20210301,201901,67000,臺南市,67000070,麻豆區,A6700007004,2232.0,801100.0,1805100.0
8155,20210301,201901,67000,臺南市,67000070,麻豆區,A6700007005,1999.0,888400.0,2248700.0
8156,20210301,201901,67000,臺南市,67000070,麻豆區,A6700007006,4406.0,607000.0,1180200.0
8157,20210301,201901,67000,臺南市,67000070,麻豆區,A6700007007,3127.0,1077800.0,2402600.0
8158,20210301,201901,67000,臺南市,67000070,麻豆區,A6700007008,3926.0,597200.0,1542400.0
8159,20210301,201901,67000,臺南市,67000070,麻豆區,A6700007009,1969.0,735699.9999999999,1542200.0
8160,20210301,201901,67000,臺南市,67000070,麻豆區,A6700007010,2080.0,684900.0,1796200.0
8161,20210301,201901,67000,臺南市,67000070,麻豆區,A6700007011,2106.0,881200.0,2331700.0
8162,20210301,201901,67000,臺南市,67000070,麻豆區,A6700007012,2306.0,642000.0,1424700.0
8163,20210301,201901,67000,臺南市,67000070,麻豆區,A6700007013,4846.0,748000.0,1351800.0
8164,20210301,201901,67000,臺南市,67000070,麻豆區,A6700007014,55.0,4300.0,12200.0
8165,20210301,201901,67000,臺南市,67000070,麻豆區,A6700007015,2487.0,581900.0,830200.0
8166,20210301,201901,67000,臺南市,67000070,麻豆區,A6700007016,2949.0,515200.00000000006,656900.0
8167,20210301,201901,67000,臺南市,67000080,下營區,A6700008001,36.0,1800.0,4600.0
8168,20210301,201901,67000,臺南市,67000080,下營區,A6700008002,1275.0,272500.0,517200.0
8169,20210301,201901,67000,臺南市,67000080,下營區,A6700008003,2025.0,591200.0,1306100.0000000002
8170,20210301,201901,67000,臺南市,67000080,下營區,A6700008004,1993.0,498500.0,903200.0
8171,20210301,201901,67000,臺南市,67000080,下營區,A6700008005,1785.0,500300.0,1016200.0
8172,20210301,201901,67000,臺南市,67000080,下營區,A6700008006,2016.0,520700.0,827000.0
8173,20210301,201901,67000,臺南市,67000080,下營區,A6700008007,2234.0,609100.0,1022900.0
8174,20210301,201901,67000,臺南市,67000080,下營區,A6700008008,2112.0,581900.0,1112900.0
8175,20210301,201901,67000,臺南市,67000080,下營區,A6700008009,1689.0,489500.0,786100.0
8176,20210301,201901,67000,臺南市,67000080,下營區,A6700008010,3372.0,451600.0,704300.0000000001
8177,20210301,201901,67000,臺南市,67000090,六甲區,A6700009001,3478.0,655200.0,1304300.0
8178,20210301,201901,67000,臺南市,67000090,六甲區,A6700009002,3667.0,504900.0,889800.0
8179,20210301,201901,67000,臺南市,67000090,六甲區,A6700009003,1596.0,433200.0,758900.0
8180,20210301,201901,67000,臺南市,67000090,六甲區,A6700009004,1342.0,267900.0,420700.0
8181,20210301,201901,67000,臺南市,67000090,六甲區,A6700009005,2758.0,371500.0,594700.0
8182,20210301,201901,67000,臺南市,67000090,六甲區,A6700009006,1365.0,369300.0,712600.0
8183,20210301,201901,67000,臺南市,67000090,六甲區,A6700009007,2137.0,638400.0,1451500.0
8184,20210301,201901,67000,臺南市,67000090,六甲區,A6700009008,2768.0,340500.0,543500.0
8185,20210301,201901,67000,臺南市,67000090,六甲區,A6700009009,2998.0,359500.0,677800.0
8186,20210301,201901,67000,臺南市,67000100,官田區,A6700010001,3513.0,692500.0,1588600.0000000002
8187,20210301,201901,67000,臺南市,67000100,官田區,A6700010002,2597.0,640800.0,888300.0
8188,20210301,201901,67000,臺南市,67000100,官田區,A6700010003,2088.0,767099.9999999999,1594700.0
8189,20210301,201901,67000,臺南市,67000100,官田區,A6700010004,2301.0,540900.0,978900.0
8190,20210301,201901,67000,臺南市,67000100,官田區,A6700010005,3667.0,489500.0,726800.0000000001
8191,20210301,201901,67000,臺南市,67000100,官田區,A6700010006,3266.0,461700.0,778800.0
8192,20210301,201901,67000,臺南市,67000100,官田區,A6700010007,2089.0,561600.0,967200.0
8193,20210301,201901,67000,臺南市,67000100,官田區,A6700010008,2113.0,523800.0,911000.0
8194,20210301,201901,67000,臺南市,67000100,官田區,A6700010009,5.0,300.0,100.0
8195,20210301,201901,67000,臺南市,67000110,大內區,A6700011001,1290.0,315800.0,401600.0
8196,20210301,201901,67000,臺南市,67000110,大內區,A6700011002,3466.0,424100.0,674700.0
8197,20210301,201901,67000,臺南市,67000110,大內區,A6700011003,5.0,1200.0,1700.0000000000002
8198,20210301,201901,67000,臺南市,67000110,大內區,A6700011004,1538.0,172800.0,212700.0
8199,20210301,201901,67000,臺南市,67000110,大內區,A6700011005,1642.0,417800.0,721800.0000000001
8200,20210301,201901,67000,臺南市,67000120,佳里區,A6700012001,1405.0,371800.0,592400.0
8201,20210301,201901,67000,臺南市,67000120,佳里區,A6700012002,2698.0,367900.0,479000.0
8202,20210301,201901,67000,臺南市,67000120,佳里區,A6700012003,3671.0,540200.0,950500.0
8203,20210301,201901,67000,臺南市,67000120,佳里區,A6700012004,2888.0,395200.00000000006,566000.0
