Unnamed: 0,匯入時間,統計時間,學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,lat,lng,stu_sum
20,20210801,202101,5,國立成功大學,N 職,M 碩士,1499,933,566,305,190,289,185,199,106,77,55,62,30,1,0,0,0,0,0,21 臺南市,1 一般,22.9988416,120.2195148,21773
154,20210801,202101,36,國立臺南大學,P 進,B 學士,153,87,66,33,25,31,9,19,20,1,8,0,0,0,0,0,0,3,4,21 臺南市,1 一般,22.9847814,120.2079978,5773
238,20210801,202101,221,國立臺南護理專科學校,N 修,2 二專,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21 臺南市,2 技職,22.9956656,120.207567,1917
732,20210801,202101,1125,中信金融管理學院,N 職,M 碩士,29,21,8,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 臺南市,1 一般,23.0637267,120.1629674,825
